codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,escalas,clase
537182,andrea7429@viajes.cl,52990,córdoba#,VALDEMORO!!!,4,4102,164000,Aeroméxico,"{""El Prat de LLobregat"",""San Fernando"",Jaén}","Primera clase"
537211,josOo7758@viajes.cl,47461,Gerona,Ávila,95,3416,136000,Emirates,{Guadalajara},"Clase ejecutiva"
537217,cOosar7548@viajes.cl,70056,Ávila,"Molina de Segura",4,499,141000,Lufthansa,{},"Clase ejecutiva"
537219,sranvape@viajes.cl,49073,Ávila,Puertollano,21,662,125000,"Southwest Airlines",{},"Clase económica"
537302,gonzalo9263@viajes.ceele,19761,"chiclana de la frontera#",BILBAO!!!,68,2573,140000,"Singapore Airlines",{},"Primera clase"
537310,Guillerminaserrano@viajes.cl,78429,Bilbao,Jaén,30,126,192000,"Frontier Airlines",{},"Clase económica"
537320,fernando4681@viajes.cl,16574,Sagunto,Santander,42,1663,181000,Avianca,{Arrecife},"Clase económica"
537321,majosade@viajes.cl,71284,Santander,"El Ejido",45,178,58000,"Turkish Airlines",{},"Clase ejecutiva"
537326,marcela9572@viajes.cl,53349,"El Ejido","Sanlúcar de Barrameda",50,4103,297000,KLM,"{Torrevieja,Granada,Santander}","Primera clase"
537342,JosOoolvera@viajes.cl,28326,"El Prat de LLobregat",Zaragoza,91,2281,256000,"Ethiopian Airlines","{Calahorra,Valladolid}","Primera clase"
537379,Sra.urOAas@viajes.ceele,66210,"San Sebastían de los Reyes",VALENCIA!!!,14,3089,113000,"Wizz Air","{Elche,""Santa Coloma de Gramanet""}","Primera clase"
537380,marcos4508@viajes.ceele,88387,palencia#,Jaén,80,1856,84000,"Southwest Airlines","{Ceuta,""Jerez de la Frontera""}","Clase ejecutiva"
537398,esnibOo@viajes.cl,32322,Tarragona,Vitoria,96,3733,411000,EasyJet,"{Palencia,Murcia,Valdemoro,Ávila}","Primera clase"
537430,olalbo@viajes.cl,72609,Badalona,Alicante,44,1879,200000,"Qatar Airways","{Cáceres,Lorca}","Clase económica"
537431,raOUl7143@viajes.cl,99648,Alicante,"SANTA COLOMA DE GRAMANET!!!",39,857,59000,"Air New Zealand",{Sevilla},"Clase económica"
537432,anabul@viajes.cl,21756,"Santa Coloma de Gramanet","San Fernando",41,269,136000,"American Airlines",{},"Clase económica"
537441,Carolinalara@viajes.cl,34568,Avilés,"El Ejido",30,979,145000,"Southwest Airlines",{},"Clase económica"
537442,juana7952@viajes.cl,63147,"El Ejido",León,100,x,230000,Emirates,"{""Dos Hermanas"",Calahorra,Puertollano,""Sanlúcar de Barrameda""}","Primera clase"
537453,Pablotejeda@viajes.cl,97182,Alicante,Sevilla,35,2897,397000,Iberia,"{""Alcalá de Guadaira"",Alcorcón}","Clase ejecutiva"
537479,gilberto2933@viajes.cl,48137,Orihuela,Alcobendas,40,1328,50000,"Air France",{},"Clase económica"
537484,Estersaucedo@viajes.cl,93442,alcobendas#,VALLADOLID!!!,29,1004,91000,Aeroméxico,{Tarrasa},"Clase económica"
537485,arturo6379@viajes.cl,21998,Barcelona,Getafe,74,2839,227000,"Delta Air Lines",{Alcoy},"Clase ejecutiva"
537486,cristian2042@viajes.cl,53034,Getafe,"Mollet del Vallés",86,2207,239000,Iberia,"{""Hospitalet de LLobregat"",""San Sebastián""}","Clase ejecutiva"
537491,sr.3517@viajes.cl,9893,"Santa Coloma de Gramanet",ELCHE!!!,67,958,71000,"British Airways",{Elche},"Clase económica"
537494,Benitoalmanza@viajes.cl,63847,Elche,Gijón,46,1082,132000,KLM,{},"Clase económica"
537502,clemente8404@viajes.cl,13638,Mérida,Tarragona,77,2348,162000,"British Airways",{},"Clase ejecutiva"
537503,Sra.fernOendez@viajes.cl,57093,Tarragona,FUENGIROLA!!!,63,3158,258000,"Frontier Airlines","{Lérida,Tarragona,""Roquetas de Mar""}","Primera clase"
537504,claudio678@viajes.cl,37819,Fuengirola,Badajoz,59,4234,362000,"Southwest Airlines","{""Roquetas de Mar"",""San Cristróbal de la Laguna"",Pamplona,""Santa Cruz de Tenerife""}","Primera clase"
537507,Guillerminanazario@viajes.cl,15541,"Castellón de la Plana",PAMPLONA!!!,39,445,72000,Aeroméxico,{},"Clase económica"
537511,Antoniouribe@viajes.ceele,33205,Móstoles,TARRASA!!!,75,1001,31000,"All Nippon Airways (ANA)",{Viladecans},"Clase económica"
537512,Sra.viera@viajes.cl,19282,tarrasa#,Huelva,98,1384,131000,WestJet,{},"Clase económica"
537515,beraca@viajes.cl,14485,benalmádena#,Cartagena,67,2901,238000,Lufthansa,"{Cáceres,Benalmádena}","Clase ejecutiva"
537563,Mateopulido@viajes.cl,60926,Torrelavega,Leganés,30,1474,183000,"Ethiopian Airlines","{""San Sebastían de los Reyes"",""San Cristróbal de la Laguna""}","Clase económica"
537583,cacefa@viajes.cl,70096,Majadahonda,ÁVILA!!!,23,1580,109000,"Air New Zealand",{},"Clase económica"
537586,ElisalOIpez@viajes.cl,53231,Cartagena,Torrelavega,45,691,84000,KLM,{},"Clase económica"
537605,amalia5995@viajes.cl,6865,Irún,Palencia,19,2441,221000,"Ethiopian Airlines",{},"Primera clase"
537609,LorenzoconcepciOIn@viajes.ceele,98927,palencia#,Paterna,30,1805,183000,"Copa Airlines",{Mataró},"Clase ejecutiva"
537679,salvador9062@viajes.cl,20303,Parla,"Santa Cruz de Tenerife",15,3912,481000,"Southwest Airlines","{""Cerdañola del Vallés"",Huelva,Coslada,Ceuta}","Primera clase"
537683,Beatrizgallegos@viajes.cl,1164,"Santa Cruz de Tenerife",Granollers,70,679,74000,"British Airways",{},"Clase económica"
537732,anita3087@viajes.ceele,80158,"Pozuelo de Alarcón",Lérida,56,3873,415000,"Air Canada","{""El Ejido"",Zamora,Cartagena,Salamanca}","Primera clase"
537809,Marianaelizondo@viajes.cl,82794,Ponferrada,"El Puerto de Santa María",82,1030,72000,Lufthansa,"{""Mollet del Vallés""}","Clase económica"
537816,algomu@viajes.cl,86883,"El Puerto de Santa María",Inca,81,1110,150000,"Singapore Airlines",{},"Clase económica"
537842,yorahu@viajes.cl,71986,Mérida,"Castellón de la Plana",29,3993,463000,Iberia,"{Burgos,Granada,Palencia,Ponferrada,Albacete}","Primera clase"
537843,amalia5995@viajes.cl,69425,"Castellón de la Plana",Mataró,55,3478,168000,"Air Canada","{Madrid,Mijas}","Primera clase"
537845,Sta.vOolez@viajes.cl,30063,Mataró,Mataró,46,2040,76000,"Air Canada","{""Molina de Segura""}","Clase ejecutiva"
537877,JesOUssolano@viajes.cl,86415,"La Línea de la Concepción",Murcia,51,1790,173000,Iberia,{},"Clase ejecutiva"
537880,alfredo8849@viajes.ceele,14758,Murcia,"Santa Cruz de Tenerife",10,4265,331000,EasyJet,"{Badalona,Leganés}","Primera clase"
537887,evtOIvi@viajes.cl,22473,Zamora,Inca,88,547,164000,Vueling,{},"Clase económica"
537888,micaela6140@viajes.cl,27315,Inca,Tarrasa,44,4246,253000,JetBlue,"{Gandía,""Santa Coloma de Gramanet"",Valencia}","Primera clase"
537912,Oliviamurillo@viajes.cl,6313,Ávila,Getafe,68,2752,196000,EasyJet,"{""Sanlúcar de Barrameda"",""Cornellá de Llobregat""}","Clase ejecutiva"
537915,joemcemo@viajes.cl,38300,Valdemoro,Ferrol,9,2114,58000,"Ethiopian Airlines",{},"Clase económica"
537920,srferoza@viajes.cl,74709,Valencia,Benidorm,83,572,72000,"Qatar Airways",{},"Clase ejecutiva"
537934,sr.178@viajes.cl,97067,Cuenta,Puertollano,29,890,69000,"Ethiopian Airlines",{},"Clase económica"
537935,Rosaliamadrid@viajes.cl,51711,Puertollano,"Santa Coloma de Gramanet",91,2156,101000,KLM,{},"Clase ejecutiva"
537936,mavele@viajes.ceele,81816,"santa coloma de gramanet#",Murcia,66,846,105000,"Alaska Airlines",{Alicante},"Clase económica"
537976,maorsu@viajes.cl,53331,Orense,Marbella,53,243,25000,"Singapore Airlines",{},"Clase ejecutiva"
538005,Yolandacedillo@viajes.cl,64559,Rubí,Oviedo,69,3984,472000,"Air Canada","{Fuenlabrada,""Talavera de la Reina""}","Primera clase"
538006,josOo5340@viajes.cl,88943,"Alcalá de Guadaira","Torrejón de Ardoz",65,4128,347000,"Copa Airlines","{Ávila,Ceuta}","Primera clase"
538014,beatriz9644@viajes.cl,5145,"Alcalá de Guadaira",Reus,48,527,170000,"Spirit Airlines",{},"Clase económica"
538096,AndrOosvanegas@viajes.ceele,21070,cáceres#,Ávila,25,3569,328000,"Air New Zealand","{Getafe,""Mollet del Vallés"",Rivas-Vaciamadrid}","Clase ejecutiva"
538097,robava@viajes.ceele,3157,Ávila,Leganés,39,3768,421000,"Air New Zealand","{Cuenta,Arrecife,Benalmádena,""Santa Lucía de Tirajana""}","Primera clase"
538098,dozabu@viajes.ceele,18755,leganés#,Torrelavega,89,1161,74000,EasyJet,{},"Clase económica"
538129,maramo@viajes.cl,96265,Vitoria,Zamora,45,1272,41000,"British Airways",{},"Clase económica"
538130,Sta.puga@viajes.cl,54480,Zamora,"San Cristróbal de la Laguna",34,2369,198000,JetBlue,"{Torremolinos,Algeciras,""Ciudad Real""}","Primera clase"
538137,Patriciovillanueva@viajes.cl,94832,"Alcalá de Henares","Sanlúcar de Barrameda",46,984,147000,"Turkish Airlines",{},"Clase económica"
538142,Estebansalazar@viajes.cl,74080,Gijón,Burgos,18,2262,236000,"Frontier Airlines","{Santander,""Torrejón de Ardoz"",Orihuela}","Clase ejecutiva"
538143,repega@viajes.cl,61771,Avilés,Segovia,49,3254,347000,"Alaska Airlines","{Cartagena,""Pozuelo de Alarcón"",Lorca,Elda}","Primera clase"
538152,girota@viajes.cl,11776,Granada,Barcelona,64,2497,241000,"Japan Airlines","{Zaragoza,Ferrol}","Clase ejecutiva"
538217,manigu@viajes.cl,25982,Manresa,Logroño,80,2032,175000,"Alaska Airlines","{""Alcalá de Henares""}","Clase económica"
538233,elpees@viajes.cl,61388,Rubí,Estepona,47,1800,154000,Avianca,{Manresa},"Clase económica"
538234,MarOAacolOIn@viajes.cl,23633,Estepona,"San Fernando",60,2821,201000,"Etihad Airways","{Elche,""Talavera de la Reina""}","Clase ejecutiva"
538274,sralgrji@viajes.cl,29552,Orense,Reus,78,3757,185000,"Wizz Air","{Baracaldo,""Cerdañola del Vallés""}","Primera clase"
538282,MarOAapuente@viajes.cl,15823,Alcorcón,Mijas,86,2631,116000,Vueling,"{""Santa Cruz de Tenerife"",""Molina de Segura""}","Clase ejecutiva"
538286,stclsimo@viajes.cl,36508,Mijas,Leganés,42,1925,78000,Aeroméxico,"{Majadahonda,Benidorm}","Clase económica"
538293,Beatrizcollazo@viajes.cl,52789,Valladolid,Mataró,41,2150,192000,"Spirit Airlines",{Móstoles},"Clase económica"
538325,victoria119@viajes.cl,9458,Burgos,Gandía,48,1350,30000,"United Airlines",{},"Clase económica"
538333,Sra.carrera@viajes.ceele,84794,Gandía,Mataró,6,3682,172000,"Southwest Airlines","{""Santiago de Compostela"",Leganés,Orihuela,Gijón,Valencia}","Primera clase"
538371,Marcosmaldonado@viajes.cl,49840,Granada,Cádiz,48,2096,121000,WestJet,{Majadahonda},"Clase ejecutiva"
538372,sra.6314@viajes.cl,42604,Cádiz,Pamplona,95,4019,301000,WestJet,"{Viladecans,Manresa,""San Sebastían de los Reyes"",Badalona,""Palma de Mallorca""}","Primera clase"
538375,guesma@viajes.cl,31994,"Alcalá de Guadaira",Inca,85,3414,320000,"Air Canada","{Móstoles,""El Ejido""}","Clase ejecutiva"
538376,adriana2375@viajes.cl,26616,Inca,Benidorm,60,2015,79000,"Southwest Airlines","{Toledo,Tarrasa}","Clase económica"
538434,raquel8972@viajes.cl,96814,Ponferrada,Viladecans,66,2977,110000,"Spirit Airlines","{Benidorm,Baracaldo,Tarragona,Granollers}","Primera clase"
538448,HernOenpaz@viajes.cl,78491,Barcelona,Toledo,95,1917,137000,"All Nippon Airways (ANA)",{Valencia},"Clase económica"
538465,DOoborahenrOAquez@viajes.cl,78179,Fuenlabrada,Oviedo,58,1921,116000,Ryanair,"{Elche,""San Sebastián""}","Clase económica"
538468,elena8997@viajes.cl,49879,Oviedo,"SANTA CRUZ DE TENERIFE!!!",81,489,146000,Lufthansa,{},"Clase ejecutiva"
538469,alicia3564@viajes.cl,51655,"Santa Cruz de Tenerife",Orense,21,2074,98000,Aeroméxico,{Mérida},"Clase ejecutiva"
538505,Guillermovaladez@viajes.cl,68673,Gijón,"Palma de Mallorca",41,1236,120000,"Japan Airlines",{},"Clase económica"
538545,sr.7342@viajes.cl,26294,"La Línea de la Concepción",TARRASA!!!,12,853,95000,"Qatar Airways",{Calahorra},"Clase económica"
538546,teodoro2239@viajes.cl,88794,Tarrasa,Bilbao,39,2865,253000,KLM,"{Granollers,""Cornellá de Llobregat"",Bilbao}","Clase ejecutiva"
538560,susana5166@viajes.cl,66923,"El Puerto de Santa María",Móstoles,74,1907,167000,Vueling,{Oviedo},"Clase ejecutiva"
538564,Catalinavillarreal@viajes.cl,46604,Móstoles,"Cerdañola del Vallés",75,273,69000,"Japan Airlines",{},"Clase económica"
538569,berta1841@viajes.cl,31399,Torremolinos,Gecho,59,2829,183000,"Singapore Airlines","{Viladecans,""Palma de Mallorca""}","Primera clase"
538570,AlfonsopOorez@viajes.cl,98501,Gecho,Mataró,100,1881,114000,"LATAM Airlines",{},"Clase ejecutiva"
538579,EduardovOezquez@viajes.ceele,76319,"La Línea de la Concepción",Parla,47,1320,109000,"Frontier Airlines",{Mijas},"Clase económica"
538586,sra.1782@viajes.cl,45807,Parla,Vigo,75,1123,77000,"Air France",{},"Clase económica"
538589,rimupe@viajes.cl,14733,Zaragoza,Calahorra,62,3463,111000,"American Airlines","{Oviedo,Sagunto,""Santa Cruz de Tenerife"",Mataró}","Clase ejecutiva"
538590,AndrOostOollez@viajes.ceele,84177,Calahorra,Algeciras,44,522,159000,"Turkish Airlines",{},"Clase económica"
538595,Sta.Oevila@viajes.cl,59617,Sevilla,Puertollano,27,1728,195000,"Delta Air Lines",{},"Clase ejecutiva"
538609,mecaca@viajes.cl,97450,Rubí,Elda,83,3197,232000,"Alaska Airlines","{Puertollano,""Hospitalet de LLobregat""}","Primera clase"
538611,gloria3128@viajes.ceele,90672,manresa#,Paterna,80,3369,276000,"Singapore Airlines",{Badajoz},"Primera clase"
538648,srracaco@viajes.cl,96365,"San Fernando",Logroño,88,1354,77000,"LATAM Airlines",{Lugo},"Clase económica"
538652,josOo7730@viajes.cl,39573,"Las Palmas de Gran Canaria","Alcalá de Henares",1,2767,145000,"Air Canada","{""Palma de Mallorca""}","Primera clase"
538668,Sra.espinal@viajes.cl,24953,Ponferrada,Coslada,57,3548,346000,Emirates,"{Bilbao,Parla,Granollers,Madrid}","Primera clase"
538675,AlfonsojimOAnez@viajes.cl,61109,Coslada,Burgos,92,2253,81000,"Japan Airlines","{Viladecans,Orihuela}","Clase ejecutiva"
538710,JosOolucero@viajes.cl,15208,Ceuta,Fuengirola,x,598,95000,"Delta Air Lines",{},"Clase económica"
538711,locobr@viajes.cl,45492,Fuengirola,Calahorra,98,2947,298000,Aeroméxico,"{Lorca,Paterna,Albacete}","Primera clase"
538712,pazaba@viajes.cl,23748,Calahorra,Alcoy,68,1729,76000,Vueling,{},"Clase económica"
538725,alejandra851@viajes.cl,22242,Marbella,Ferrol,88,1652,120000,"Etihad Airways",{},"Clase económica"
538733,Barbarasolano@viajes.cl,22111,Ferrol,Algeciras,29,4219,299000,"Turkish Airlines","{""Molina de Segura"",Rivas-Vaciamadrid,Mataró,Zaragoza,""La Línea de la Concepción""}","Primera clase"
538734,starvOera@viajes.cl,65323,Algeciras,"Alcalá de Henares",70,1035,44000,"Japan Airlines","{""Jerez de la Frontera""}","Clase económica"
538742,Pilarmaya@viajes.cl,26531,"Santiago de Compostela","Alcalá de Henares",17,1380,73000,Iberia,{},"Clase económica"
538743,gosapo@viajes.cl,38756,"San Fernando","Chiclana de la Frontera",98,3875,228000,"British Airways","{Alcorcón,Viladecans,""Pozuelo de Alarcón""}","Primera clase"
538744,stlipeva@viajes.ceele,82768,x,Santander,98,x,x,Qantas,{Córdoba},"Clase ejecutiva"
538848,sra.6330@viajes.cl,69981,alicante#,Torremolinos,89,2658,234000,Lufthansa,{Torrevieja},"Primera clase"
538853,irene6155@viajes.cl,45385,Torremolinos,Leganés,6,761,89000,WestJet,{},"Clase económica"
538874,rosa172@viajes.cl,69989,"San Sebastían de los Reyes",Mérida,60,925,56000,Aeroméxico,{},"Clase económica"
538899,jerica@viajes.cl,68109,"alcalá de guadaira#",Vitoria,84,667,72000,"Ethiopian Airlines",{},"Clase económica"
538900,Hugoelizondo@viajes.cl,64347,Almería,Reus,12,2868,178000,"Air France","{Gecho,Rivas-Vaciamadrid,""San Cristróbal de la Laguna""}","Primera clase"
538904,srmafago@viajes.cl,9221,Reus,Lorca,49,2509,292000,"LATAM Airlines",{},"Primera clase"
538925,sra.8658@viajes.cl,51156,Parla,Badajoz,29,3802,211000,"Delta Air Lines","{Murcia,Cáceres}","Primera clase"
538929,arturo4931@viajes.cl,61634,Badajoz,Getafe,95,1345,141000,"Ethiopian Airlines",{},"Clase económica"
538957,sibeco@viajes.cl,25463,Torrelavega,Torremolinos,63,1744,173000,"Southwest Airlines","{""Ciudad Real""}","Clase económica"
538959,sta.2537@viajes.cl,61158,Torremolinos,Mérida,100,3092,201000,EasyJet,"{Huelva,""El Puerto de Santa María"",""Pozuelo de Alarcón"",Alcobendas}","Clase ejecutiva"
538973,AndrOostOollez@viajes.cl,58820,Lérida,Málaga,81,4254,387000,JetBlue,"{Leganés,Benidorm,Alicante,""Alcalá de Henares""}","Primera clase"
539018,lola7167@viajes.cl,19651,"Torrejón de Ardoz","Santiago de Compostela",23,3016,353000,Iberia,"{Ponferrada,Vitoria,""Castellón de la Plana"",Málaga}","Clase ejecutiva"
539019,jofrar@viajes.cl,77463,"Santiago de Compostela",LOGROñO!!!,4,1120,140000,"All Nippon Airways (ANA)",{},"Clase económica"
539026,jolucoal@viajes.cl,17946,Logroño,Cáceres,71,1383,132000,Emirates,{Majadahonda},"Clase económica"
539050,miOenbrca@viajes.cl,86317,salamanca#,Ceuta,49,1311,131000,"Qatar Airways",{Gecho},"Clase económica"
539058,sra.3499@viajes.cl,1070,Ceuta,Ávila,64,3727,262000,"LATAM Airlines","{Sagunto,Motril}","Primera clase"
539067,Estercarmona@viajes.cl,95859,pontevedra#,Mijas,1,3193,265000,"United Airlines","{""Alcalá de Henares""}","Primera clase"
539077,MarOAasamaniego@viajes.cl,95053,Fuengirola,CóRDOBA!!!,70,3243,355000,"Wizz Air","{Zamora,Telde,""San Sebastían de los Reyes"",Benalmádena}","Primera clase"
539115,srancomo@viajes.cl,68350,Fuengirola,Tarrasa,49,598,29000,Aeroméxico,{},"Clase ejecutiva"
539116,patricio2412@viajes.cl,10181,Tarrasa,"Santa Coloma de Gramanet",9,2562,113000,"All Nippon Airways (ANA)",{},"Primera clase"
539120,pablo5252@viajes.cl,92109,Vitoria,"Santa Lucía de Tirajana",86,3887,419000,"Qatar Airways","{""Dos Hermanas"",Mataró,""Hospitalet de LLobregat""}","Primera clase"
539122,papepe@viajes.cl,72440,"santa lucía de tirajana#",Irún,98,2472,239000,"Air New Zealand","{Móstoles,León,Granada}","Primera clase"
539127,JosOomiranda@viajes.cl,53473,Irún,Toledo,4,1972,64000,Avianca,{Ponferrada},"Clase económica"
