nombre,run,dv,correo,contrasena,nombre_usuario,telefono_contacto,jornada,isapre,contrato
"Sta. Juan Vargas Rojas",10016175,3,Sta.rojas@viajes.ceele,687kzy57AqPbS5mv,sta.6622,"+56 2 7194 9813",Diurno,Banmédica,"Part time"
"Sra. Pablo Peres Urías",26678941,6,Sra.urOAas@viajes.cl,CzAQFv77olnVz4n,sra.1967,"+56 2 2029 2245",Diurno,Consalud,"Part time"
"Sra. Luz Longoria Urbina",17509515,2,srlulour@viajes.ceele,iA9q4qiJ3Y1R,sra.5851,"+56 9 1857 2387",Nocturno,Banmédica,"Part time"
"Gustavo Guerrero Girón",25116498,3,gugugi@viajes.cl,90aZNBpKub6y1IUS,gugugi,"+56 2 7784 1095",Diurno,Banmédica,"Part time"
"Emilia Aragón Villagómez",26542261,6,EmiliavillagOImez@viajes.cl,rX2c3sEqo6jhs,emarvi,"+56 9 2375 2128",Diurno,Colmena,"Full time"
"Luis Reynoso Villareal",8150313,3,lurevi@viajes.cl,ySVqgCWEg1CEv4DY,lurevi,"+56 2 4773 1330",Diurno,Colmena,"Full time"
"Alejandro Rubio Carvajal",10711906,0,alruca@viajes.cl,uH4u17wzHc6i,alejandro1460,"+56 9 5349 6089",Diurno,Colmena,"Full time"
"José Luis Venegas Quiroz",29050390,6,JosOoquiroz@viajes.cl,33DVlbBvXvQ,joluvequ,+56-2-2709-2039,Diurno,"Más vida","Part time"
"César Vázquez Esquibel",2318598,9,COosaresquibel@viajes.cl,A1b88wn05oSPx,céváes,"+56 2 0217 4063",Nocturno,Consalud,"Part time"
"Esteban Acuña Aponte",17346194,1,esteban8714@viajes.cl,l5X8kj7u,esteban5115,"+56 2 3264 4488",Diurno,Fonasa,"Full time"
"Gerardo Segura Tijerina",5358146,3,gerardo2022@viajes.cl,iYQ5BHpQG5o,Gerardotijerina,"+56 2 2050 8856",Diurno,"Más vida","Part time"
"Raquel Colón Espino",17037138,0,Raquelespino@viajes.cl,t5eBbbtg7Wt0L,Raquelespino,"+56 2 7428 8990",Nocturno,Fonasa,"Part time"
"Mateo Mejía Borrego",20147551,1,mateo3420@viajes.cl,H5QeaIi0,mateo7042,"+56 2 8998 5744",Nocturno,Consalud,"Full time"
"Timoteo Montaño Jimínez",17705640,5,TimoteojimOAnez@viajes.cl,oBboi6O9ESpvIcD,timoteo9925,"+56 9 6583 8294",Nocturno,Banmédica,"Part time"
"César Collado Roque",2899442,7,cOocoro@viajes.cl,pZM5TJ1znS,césar3259,"+56 2 3263 9634",Nocturno,"Más vida","Full time"
"María Luisa Delrío Arias",1939794,7,marOAa9727@viajes.cl,Zv8biph4WQAFzuN,maludear,"+56 2 9847 2914",Nocturno,"Más vida","Full time"
"Federico Niño Banda",5742513,0,Federicobanda@viajes.cl,81NYCPcln,Federicobanda,"+56 2 7276 2303",Diurno,Fonasa,"Full time"
"Sancho Flórez Téllez",25144062,0,SanchotOollez@viajes.cl,uqxbb8l3Wv4bB,Sanchotéllez,"+56 2 2418 5979",Nocturno,Fonasa,"Part time"
"Alfredo Ávila Macías",26836254,1,AlfredomacOAas@viajes.cl,q1rfk6f7NwOT,alfredo456,"+56 2 8662 5676",Nocturno,Consalud,"Full time"
"Norma Franco Téllez",20681627,9,NormatOollez@viajes.cl,g93klybSQU5rEZc4,Normatéllez,"+56 2 4741 3121",Diurno,"Más vida","Full time"
"Rosario Rangel Holguín",8318621,6,roraho@viajes.ceele,5Ah9aUmU1DB7NCJ,roraho,"+56 9 2401 0021",Diurno,Colmena,"Part time"
"Rosalia Villaseñor Madrid",4322584,7,Rosaliamadrid@viajes.cl,nD62QTdr2VTt69,rovima,"+56 9 9130 2923",Diurno,Banmédica,"Part time"
"Francisco Valadez Gaitán",23086770,4,francisco4064@viajes.cl,ChsiFrsGQAa13h,francisco1477,"+56 2 9713 2320",Nocturno,Consalud,"Part time"
"Cecilia Ferrer Pedraza",13067740,1,cecilia2735@viajes.cl,3VPv7WIav,Ceciliapedraza,"+56 2 1373 8749",Diurno,Colmena,"Full time"
"Sra. Rubén Narváez Sosa",6575083,0,srrunaso@viajes.cl,35Mrn7w5,srrunaso,"+56 9 8622 8791",Diurno,Consalud,"Full time"
"Sra. Sara Villareal Lebrón",27637253,0,srsavile@viajes.cl,2q68hfXuo,sra.3082,"+56 2 3393 6914",Diurno,Banmédica,"Full time"
"Sra. Sancho Urías Sosa",28870474,0,sra.5340@viajes.cl,DvP9VXICjtH,Sra.sosa,"+56 2 0181 1659",Diurno,Colmena,"Part time"
"Sergio Samaniego Ramos",9530802,3,Sergioramos@viajes.cl,SmM12kz8apM,Sergioramos,"+56 2 5741 4943",Diurno,"Más vida","Full time"
"Francisca Sáenz Delgado",11738398,9,frsOede@viajes.cl,PSui8pc7MsCi,Franciscadelgado,"+56 2 9629 5155",Diurno,Fonasa,"Part time"
"Isabela Almaraz Loya",22590571,1,isallo@viajes.cl,eNjywPulDPqJ4g,Isabelaloya,"+56 9 6117 8791",Nocturno,Consalud,"Full time"
"Josefina Pabón Rico",6293911,7,josefina2243@viajes.cl,JxW4jPaQxfDwUf,jopari,"+56 2 8786 1110",Nocturno,Banmédica,"Full time"
"Jorge Luis Corrales Alaniz",15694726,1,jolucoal@viajes.cl,fz6FZ1QOf4,jolucoal,"+56 2 2248 5753",Nocturno,Banmédica,"Full time"
"Miguel Yáñez Puente",16749665,2,miguel4767@viajes.cl,vH9vKOOX3H,miyápu,"+56 2 0073 1309",Nocturno,Consalud,"Full time"
"Rosario Cervántez Calderón",9474132,7,RosariocalderOIn@viajes.cl,Ppa7FEsynWTb3uZQ,Rosariocalderón,"+56 9 2627 1678",Nocturno,Colmena,"Full time"
"Sra. Luis Vela Ozuna",5200479,9,sra.7161@viajes.ceele,n6BttpslS,srluveoz,+56-2-2138-8705,Nocturno,Fonasa,"Part time"
"Maricarmen Rodríquez Franco",8995711,7,Maricarmenfranco@viajes.cl,wvPJO6m2AN893u,Maricarmenfranco,"+56 2 8548 1443",Nocturno,Banmédica,"Full time"
"José Luis Véliz Cepeda",29127478,1,josOo7730@viajes.cl,AeGsBEjbvDl04,joluvéce,"+56 9 0802 8883",Diurno,"Más vida","Full time"
"Ramón Casares Sepúlveda",13908721,6,RamOInsepOUlveda@viajes.cl,o2Orhhy3Ahw5Ydlf,racase,+56-2-4098-2055,Nocturno,Consalud,"Part time"
"Adriana Ávalos Vargas",18844900,0,adriana2375@viajes.cl,7n3E1Sp1ppN,adávva,"+56 9 5019 9433",Nocturno,Colmena,"Full time"
"Bernardo Chávez Urbina",20922571,9,bernardo8297@viajes.cl,zdLE46gNOa6,Bernardourbina,"+56 2 3935 6248",Nocturno,"Más vida","Full time"
"Daniela Torres Arguello",2450302,0,Danielaarguello@viajes.cl,2f0o3AQrXUE,datoar,"+56 2 7076 6229",Nocturno,Banmédica,"Part time"
"Teodoro Montero Alaniz",11334698,1,teodoro9248@viajes.cl,J2y39rK9,teodoro3531,+56-9-6198-2689,Nocturno,Consalud,"Full time"
"Magdalena Verdugo Perea",1131881,9,Magdalenaperea@viajes.cl,U9HJjdK5,Magdalenaperea,"+56 2 7475 0400",Diurno,"Más vida","Part time"
"Andrés Gastélum Vanegas",1073159,3,AndrOosvanegas@viajes.cl,C4QUV57vOeYz,Andrésvanegas,"+56 2 6607 2443",Nocturno,"Más vida","Full time"
"Jerónimo Calvillo Olivares",16472735,1,jecaol@viajes.cl,O68tlM4Nut1F,jecaol,"+56 9 1454 0617",Diurno,Consalud,"Part time"
"María Elena Bustos Vélez",5471366,5,MarOAavOolez@viajes.cl,S6vnVSn9U,maelbuvé,"+56 9 6610 6629",Nocturno,Fonasa,"Part time"
"Patricio Arriaga Figueroa",26867040,8,paarfi@viajes.cl,nxxl8v1VEJIMY8c,patricio4327,+56-2-8195-6411,Diurno,Banmédica,"Part time"
"Federico Saldaña Fernández",8060785,7,federico4047@viajes.cl,lp6w0QrJRM,Federicofernández,+56-9-1485-0560,Nocturno,Fonasa,"Part time"
"Sra. Hugo Olivera Soto",12443393,2,srhuolso@viajes.cl,yGCth3p2R5Cdr8aG,srhuolso,"+56 9 5609 7095",Nocturno,Colmena,"Part time"
"Horacio Jaime Viera",28630264,5,horacio7455@viajes.cl,AQMTYx2gxw9Up,Horacioviera,"+56 9 7632 4256",Diurno,"Más vida","Full time"
"Lourdes Vega Guerra",27050787,5,Lourdesguerra@viajes.cl,5J31H5AjaglP,lourdes5381,"+56 2 0176 3934",Diurno,Colmena,"Part time"
"Gabriel Ochoa Centeno",23695644,0,gaocce@viajes.cl,sPIOMIL82GxKUK7,gaocce,"+56 9 4464 8883",Diurno,Consalud,"Full time"
"Sta. Adán Armenta Cruz",2592631,5,Sta.cruz@viajes.cl,6RsvsuV7,sta.4744,"+56 2 7583 7613",Nocturno,"Más vida","Full time"
"Sra. Julio Rodríguez Trejo",2546741,8,Sra.trejo@viajes.cl,yP7TRJ40Vfg0BY,sra.1030,"+56 2 0478 5010",Diurno,Colmena,"Part time"
"Agustín Padrón Valenzuela",13604894,5,agpava@viajes.ceele,5MYEWpGny2,Agustínvalenzuela,"+56 2 4675 1427",Nocturno,Colmena,"Part time"
"Sta. Maricarmen Cruz Vélez",20494174,2,Sta.vOolez@viajes.cl,dKmBRCM7aqfdH9J,sta.4005,"+56 9 7476 3580",Nocturno,"Más vida","Full time"
"Claudia Delrío Candelaria",290889,1,cldeca@viajes.cl,2mqDz98sX,cldeca,"+56 2 2933 8054",Nocturno,Consalud,"Part time"
"Sr. Catalina Ceja Nieves",24525544,6,Sr.nieves@viajes.cl,PGVnMnruIF6u5,sr.5847,"+56 2 5752 1196",Diurno,Colmena,"Part time"
"Francisco Gastélum Alejandro",23462257,9,Franciscoalejandro@viajes.cl,kS6tN6FnH8bfj3b,Franciscoalejandro,"+56 9 9972 7474",Nocturno,Colmena,"Full time"
"César Trujillo Tórrez",10014205,8,cOosar2050@viajes.cl,Wn20YGieL,césar5085,"+56 2 0674 6571",Nocturno,"Más vida","Part time"
"Isabel Lebrón Saldaña",11928517,8,isabel4543@viajes.cl,cyRS4z3Z8Pxzi,isabel7675,"+56 2 6274 1895",Diurno,Fonasa,"Part time"
"Guadalupe Ulloa Montenegro",9233608,5,Guadalupemontenegro@viajes.cl,kALMrkc4Y1B,guadalupe7397,"+56 2 7668 1556",Nocturno,Banmédica,"Full time"
"Sta. Miguel Arce Padilla",3155628,7,sta.8042@viajes.cl,tgHOfN0QnIuk,Sta.padilla,"+56 2 0946 8797",Nocturno,Banmédica,"Part time"
"María Soledad Briones Espinosa",11871930,1,masobres@viajes.cl,0G4ExW0IT6Acb,maría6146,"+56 9 7757 8772",Nocturno,Consalud,"Part time"
"Diego Alcaraz Salcedo",24099140,3,dialsa@viajes.cl,N5MnxYbdc9EJ2x,dialsa,"+56 9 1445 5729",Diurno,Banmédica,"Part time"
"Beatriz Zayas Gallegos",23962646,7,Beatrizgallegos@viajes.cl,dojD2DFM,beatriz531,"+56 2 6838 7270",Nocturno,Fonasa,"Full time"
"Juana Delapaz Sáenz",586635,9,JuanasOeenz@viajes.cl,jw5FyFFvEHo2F9Hl,judesá,"+56 9 0402 4769",Nocturno,Consalud,"Part time"
"Sonia Reyna Olivares",13731682,0,soreol@viajes.cl,XM8kwad4wyc,Soniaolivares,"+56 9 0904 1341",Diurno,Consalud,"Full time"
"Sta. Felipe Altamirano Nájera",8275877,1,stfealnOe@viajes.cl,7zAN43LtoeovGy,stfealná,"+56 9 0778 2581",Nocturno,Fonasa,"Part time"
"Cristobal Sotelo Patiño",11938480,0,crsopa@viajes.cl,XI1t0kINPIqCT3j,Cristobalpatiño,"+56 9 4138 8882",Nocturno,Banmédica,"Full time"
"Patricio Garza Villanueva",3405025,2,Patriciovillanueva@viajes.cl,5s3VrFxwbJJTpl,patricio3918,"+56 9 4653 1491",Diurno,Colmena,"Full time"
"Benjamín Rojas Negrete",21063631,5,benjamOAn5601@viajes.cl,uGmUuOGm6m7nd,benjamín5410,"+56 9 6923 1526",Nocturno,Banmédica,"Part time"
"Gregorio Alanis Rosas",9768517,7,gralro@viajes.ceele,0UK8IUphfZllX,Gregoriorosas,"+56 2 4353 1124",Diurno,Consalud,"Part time"
"Lourdes Moya Rascón",16765448,7,lourdes4557@viajes.cl,o7mZ4r5Ylrh8Eubk,lomora,"+56 9 6198 7289",Nocturno,Colmena,"Full time"
"Pedro Carrera Villa",27113663,3,pedro4478@viajes.cl,u8LtnEBx9L0eg7L7,Pedrovilla,"+56 2 4674 2783",Diurno,Consalud,"Part time"
"Sr. Alfredo Guerra Lovato",10800532,7,sr.3517@viajes.cl,832Z8bczK4wCHq7F,Sr.lovato,"+56 9 6775 1812",Diurno,"Más vida","Part time"
"Alejandra Gutiérrez Orozco",29545388,5,alguor@viajes.cl,TcbY14iEdc0,alejandra2206,"+56 9 6020 7617",Diurno,Banmédica,"Full time"
"Micaela Salas Medrano",11757796,1,Micaelamedrano@viajes.cl,L193Oh59,micaela9940,"+56 2 3047 4974",Diurno,Fonasa,"Full time"
"Sta. Guadalupe Arellano Quesada",27178140,7,Sta.quesada@viajes.cl,1ZUeBR5vc2Sn0Dzt,sta.1206,"+56 9 2639 2127",Diurno,Fonasa,"Part time"
"Natalia Tello Guajardo",27923978,4,natalia5857@viajes.cl,yj5sK3LI4jh,natalia2219,"+56 2 5853 0984",Diurno,Colmena,"Part time"
"Timoteo Estrada Guzmán",26048165,7,TimoteoguzmOen@viajes.cl,iNpPd1kvwmEQ,tiesgu,"+56 2 2070 5138",Nocturno,Banmédica,"Full time"
"Florencia Altamirano Jáquez",21115088,2,FlorenciajOequez@viajes.cl,2hI3cWhBz,Florenciajáquez,"+56 2 6107 2983",Nocturno,Fonasa,"Full time"
"Jorge Madera Terán",17746054,0,JorgeterOen@viajes.cl,tL2omevpLHmK,jorge7707,"+56 9 5794 5486",Nocturno,Colmena,"Full time"
"Caridad Gálvez Fajardo",26876895,5,Caridadfajardo@viajes.cl,oSwBj33c,caridad4423,"+56 2 4388 0886",Diurno,Consalud,"Full time"
"Juan Carlos Zamudio Castellanos",3966397,0,Juancastellanos@viajes.cl,o8KXPateHTWmvn,jucazaca,"+56 9 2426 1694",Nocturno,"Más vida","Full time"
"Cecilia Gaona Anguiano",23343474,4,Ceciliaanguiano@viajes.cl,I8aNUHrMVPYSZlmS,cecilia7659,"+56 9 5933 6551",Nocturno,Colmena,"Full time"
"Roberto Paredes Haro",4949782,2,roberto7144@viajes.cl,Em3KtDyRN,ropaha,"+56 2 7751 7070",Nocturno,Fonasa,"Part time"
"Miguel Delgadillo Solorio",1923387,1,miguel7612@viajes.cl,rg76E0EneN5m9P,Miguelsolorio,"+56 9 9932 5364",Nocturno,Colmena,"Full time"
"Sta. Ana Luisa Gonzales Velázquez",28754120,1,sta.6904@viajes.cl,caUlPR1EM9B,Sta.velázquez,"+56 2 8636 6111",Diurno,"Más vida","Full time"
"Sr. Dolores Domínquez Montenegro",15565727,8,sr.4355@viajes.cl,lFi6gwLK1YeR5jH,sr.1337,"+56 2 7311 2306",Nocturno,"Más vida","Full time"
"Rebeca Granado Botello",20636800,4,rebeca1699@viajes.cl,fX3FxoC7,rebeca8476,"+56 9 0396 5583",Nocturno,Fonasa,"Full time"
"Luis Miguel Valle Alicea",9360826,7,Luisalicea@viajes.cl,E4uWhCBoBZNCVee,Luisalicea,"+56 2 6479 7886",Diurno,Colmena,"Full time"
"Sra. Gregorio Leiva Archuleta",27780314,3,Sra.archuleta@viajes.cl,Uae5AM9nVy,Sra.archuleta,"+56 2 0096 9986",Nocturno,"Más vida","Part time"
"Sofia Prieto Ballesteros",9481062,0,soprba@viajes.cl,cVyD0RLBJh58jf,soprba,"+56 2 1777 8605",Nocturno,Consalud,"Full time"
"Mayte Ornelas Suárez",9192716,0,maorsu@viajes.ceele,x,maorsu,+56-2-2524-5241,Diurno,Colmena,x
"Claudio Colón Meléndez",9160515,5,claudio1975@viajes.cl,mWAoG4TF,claudio3995,"+56 9 6420 6020",Diurno,Colmena,"Part time"
"Sra. Martín Mireles Ojeda",1872836,2,srmamioj@viajes.cl,ZY4K7Taeq7,sra.9470,"+56 9 0507 9533",Diurno,Fonasa,"Full time"
"José María Merino Jimínez",6615559,5,josOo8194@viajes.cl,cnSmrcuRlK08zK,jomameji,"+56 9 8460 0094",Diurno,Colmena,"Part time"
"Eva Echevarría Montes",25215408,6,Evamontes@viajes.cl,1qtb8vLc8Ao,eva3545,"+56 2 9941 1844",Diurno,Banmédica,"Full time"
"Mateo Adorno Pulido",16526052,0,Mateopulido@viajes.cl,Zs9Gm85igxxv,mateo3972,"+56 2 0221 0531",Diurno,"Más vida","Part time"
"Blanca Pacheco Gallardo",1463332,4,blpaga@viajes.cl,U6BLtbBZE1uo4,Blancagallardo,"+56 9 0367 9910",Diurno,Colmena,"Full time"
x,23021217,1,ramite@viajes.cl,KXdqV2n0R4,Ramonaterán,"+56 2 0392 1847",Nocturno,Banmédica,"Full time"
"Alejandra Valdés Banda",10067342,8,alejandra851@viajes.cl,mFv197z3c7Ie0ld,alejandra6569,"+56 9 7335 8710",Nocturno,"Más vida","Part time"
"Ángela Saavedra Olivas",11732387,0,Oensaol@viajes.cl,j9QYWm9YvN0,Ángelaolivas,"+56 9 9025 6497",Nocturno,Consalud,"Full time"
"Sta. Mateo Soria Valles",17948689,0,Sta.valles@viajes.cl,4KH91k2fk,sta.2264,"+56 9 6229 6260",Nocturno,Consalud,"Part time"
"Santiago Carrillo Lozada",21760194,0,santiago8558@viajes.cl,4ADhwJnYJeuke,Santiagolozada,"+56 9 9226 4300",Nocturno,Consalud,"Full time"
"Gonzalo Lozada Regalado",22422162,2,Gonzaloregalado@viajes.cl,wc8QXb57RUoA,golore,"+56 2 7844 5486",Diurno,Banmédica,"Full time"
"Adriana Pulido Zaragoza",25420364,5,Adrianazaragoza@viajes.cl,0xnK2r5xfB2,adriana5748,"+56 2 7801 6095",Diurno,Consalud,"Part time"
"Pilar Carranza Maya",27265318,6,Pilarmaya@viajes.cl,iAS7u9CJFSW,pilar9131,"+56 9 1994 4730",Diurno,Colmena,"Full time"
"Raquel Palacios Díaz",27692579,2,raquel8972@viajes.cl,ctT7Id6R,raquel1620,"+56 9 9237 2201",Diurno,Fonasa,"Part time"
"Andrea Barajas Barreto",29684808,5,andrea9809@viajes.cl,nX3dHmVy4U,andrea2382,"+56 2 1641 0256",Nocturno,Consalud,"Part time"
"Alfonso Baeza Trujillo",18326648,9,Alfonsotrujillo@viajes.cl,5f0HtZd2Am,Alfonsotrujillo,"+56 9 3726 7586",Nocturno,Fonasa,"Part time"
"Concepción Sánchez Godínez",26989047,9,cosOego@viajes.cl,os0Kz8PMb91e5tHp,concepción6287,"+56 2 0080 2700",Nocturno,Colmena,"Part time"
"Arturo Hidalgo Chavarría",15654879,0,ArturochavarrOAa@viajes.cl,8gz47EUjd2eivJ,Arturochavarría,"+56 9 0259 5659",Diurno,Consalud,"Full time"
"Marilu Olivera Aguirre",17986735,4,Mariluaguirre@viajes.cl,Sh6GWcRXMsmwx4de,Mariluaguirre,"+56 2 4625 1478",Diurno,"Más vida","Part time"
"Claudio Madera Escamilla",24586039,0,Claudioescamilla@viajes.cl,1d3hPnFqrgq,claudio327,"+56 2 2847 0732",Nocturno,Colmena,"Part time"
"Diego Alcaraz Salcedo",24099140,3,dialsa@viajes.ceele,N5MnxYbdc9EJ2x,dialsa,"+56 9 1445 5729",Diurno,Banmédica,"Part time"
"Ana Luisa Varela Saldivar",258285,6,anluvasa@viajes.cl,uNIHI27Bz,Anasaldivar,"+56 2 2123 0925",Nocturno,"Más vida","Full time"
"Sofia Saldaña Lovato",19807448,9,sofia9256@viajes.cl,thoDzSYM7,sosalo,"+56 9 2641 4850",Diurno,"Más vida","Part time"
"Alfredo Ávalos Jurado",18717479,1,Alfredojurado@viajes.cl,tQ6UiNcls2Cr,alávju,"+56 2 6534 8041",Diurno,Colmena,"Part time"
"Patricio Cedillo Hidalgo",1917828,5,patricio8282@viajes.cl,Uqe0iGfgY1bD7U,Patriciohidalgo,"+56 9 3221 2299",Nocturno,Consalud,"Part time"
"Francisca Figueroa Collazo",19428683,0,francisca3833@viajes.cl,6XogxYRnm4t,francisca6659,"+56 2 4840 5906",Diurno,"Más vida","Full time"
"Andrés Ornelas Delao",16865341,7,AndrOosdelao@viajes.cl,vmH6xOL5cmgqB,andrés7366,"+56 2 3498 9353",Nocturno,Banmédica,"Part time"
"Tomás Zepeda Carrillo",22774634,3,tomOes2271@viajes.cl,ma2C4Zvn,tozeca,"+56 2 2793 8086",Nocturno,Colmena,"Part time"
"Luz Velázquez Mata",19998017,3,Luzmata@viajes.cl,AP4omwoai,luvema,"+56 2 7875 9335",Diurno,"Más vida","Part time"
"Marisol Ceballos Abreu",3797648,2,maceab@viajes.cl,BtA5J605w7I,marisol1999,"+56 2 5099 5654",Diurno,Banmédica,"Part time"
"Sra. Gregorio Olvera Raya",1890551,5,Sra.raya@viajes.cl,XieM64CSdSt4,srgrolra,"+56 9 4797 0227",Nocturno,"Más vida","Full time"
"Samuel Barrientos Nájera",14682792,6,sabanOe@viajes.cl,MvxdV2XQmC6,sabaná,"+56 2 8943 6937",Diurno,Fonasa,"Full time"
"Florencia Altamirano Jáquez",21115088,2,FlorenciajOequez@viajes.ceele,2hI3cWhBz,Florenciajáquez,"+56 2 6107 2983",Nocturno,Fonasa,"Full time"
"Alfonso Jurado Pérez",11697513,0,AlfonsopOorez@viajes.cl,paR5XO8Oms,Alfonsopérez,"+56 2 2964 2355",Diurno,Banmédica,"Full time"
"Cristian Alcala Irizarry",13266261,4,cralir@viajes.cl,Q0cq5dkQU8bCOZ,cralir,"+56 2 8650 8332",Diurno,Fonasa,"Part time"
"Lilia Hurtado León",6703100,8,lilia5199@viajes.cl,NoGhtGuixSeV5OtM,Lilialeón,"+56 9 2283 9970",Nocturno,Banmédica,"Full time"
"Antonia Sepúlveda Holguín",15278055,9,AntoniaholguOAn@viajes.cl,BxV2pgmE2s,antonia7881,"+56 9 7285 9463",Nocturno,Banmédica,"Part time"
"Beatriz Ybarra Viera",26084047,9,beybvi@viajes.cl,BuCUOMP8TYqj9wa,Beatrizviera,"+56 2 6825 2573",Diurno,Fonasa,"Part time"
"Amalia Leiva Nieves",598562,5,amalia9799@viajes.cl,Ang7Y733cccqnr,Amalianieves,"+56 9 3422 1177",Diurno,Fonasa,"Part time"
"Carolina Segura Sisneros",25385734,0,carolina5670@viajes.ceele,zWJoGEXSDAlN0WJ,carolina4397,"+56 2 6312 5649",Diurno,Fonasa,"Part time"
"Sr. María del Carmen Almaraz Porras",5192314,6,srmadecaalpo@viajes.cl,N8A2534k,srmadecaalpo,"+56 9 3876 5390",Nocturno,"Más vida","Full time"
"Antonio Rendón Alvarado",21898939,0,Antonioalvarado@viajes.ceele,UkwOAo5IBei,anreal,x,Nocturno,"Más vida","Part time"
"Débora Badillo Olivárez",8937801,0,dOobora5259@viajes.cl,rdvCJ2YwYk1B1Jc,Déboraolivárez,"+56 9 3601 1298",Diurno,Colmena,"Part time"
"Sara Beltrán Muro",4653251,1,Saramuro@viajes.cl,JLa2og5yc8aeOVmo,sabemu,+56-2-9057-8306,Diurno,Consalud,"Full time"
"Manuela Melgar Vega",10244304,7,Manuelavega@viajes.cl,yjI4BvKIYMhX9z,Manuelavega,"+56 2 8905 5369",Diurno,Fonasa,"Full time"
"Felipe Gurule Madrid",22646049,7,Felipemadrid@viajes.cl,gYvVJ8G0ET4l,Felipemadrid,"+56 9 5790 6118",Diurno,Colmena,"Full time"
"Sara Vélez Gonzales",22943466,7,savOogo@viajes.cl,PnO2x8QE1o4,savégo,"+56 2 4926 1633",Diurno,Colmena,"Full time"
"Sonia Sedillo Feliciano",18613421,4,sonia2196@viajes.cl,K2y5WO9N4v,Soniafeliciano,"+56 9 7613 1080",Diurno,Banmédica,"Part time"
"Débora Correa Henríquez",12707732,0,DOoborahenrOAquez@viajes.cl,LpS5gR7PyFtJM2o,Déborahenríquez,"+56 2 3260 7819",Nocturno,Banmédica,"Part time"
