codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa
536583,FlorenciajOequez@viajes.cl,31408,Granada,"Castellón de la Plana",73,3846,212000,Eurostar
536587,JorgeterOen@viajes.cl,95142,"Castellón de la Plana",Madrid,13,1562,157000,"ŽSSK (Eslovaquia)"
536589,Caridadfajardo@viajes.cl,53203,"Hospitalet de LLobregat",Valladolid,50,2076,169000,"Pullman Bus"
536591,Juancastellanos@viajes.cl,47342,Valladolid,Ponferrada,35,1203,87000,Monbus
536595,Ceciliaanguiano@viajes.cl,24952,Rubí,COSLADA!!!,1,2665,111000,AVE
536596,roberto7144@viajes.cl,15794,Coslada,Gerona,25,798,35000,"NS International"
536597,miguel7612@viajes.cl,19589,"hospitalet de llobregat#","Palma de Mallorca",38,1085,117000,"SBB (Suiza)"
536598,sta.6904@viajes.cl,11734,"Palma de Mallorca",Leganés,29,1387,100000,"NSB (Noruega)"
536606,sr.4355@viajes.cl,65362,Mijas,"Jerez de la Frontera",15,4139,159000,Amtrak
536611,rebeca1699@viajes.cl,67737,"Jerez de la Frontera",Sagunto,56,932,72000,"SNCB (Bélgica)"
536615,Luisalicea@viajes.cl,19743,Móstoles,Logroño,9,2781,95000,"SJ (Suecia)"
536616,Sra.archuleta@viajes.cl,88324,Logroño,Sagunto,58,863,70000,Italo
536620,soprba@viajes.cl,41472,"Jerez de la Frontera",Manresa,30,3092,187000,Turbus
536624,maorsu@viajes.ceele,98154,"Santiago de Compostela",Vitoria,41,3924,477000,AVE
536627,claudio1975@viajes.cl,51430,Vitoria,Mataró,6,211,112000,"NS International"
536629,srmamioj@viajes.cl,96014,Cartagena,Cuenta,61,2717,80000,"Southwest Airlines"
536630,josOo8194@viajes.cl,4209,Gijón,Oviedo,40,3141,317000,"Air France"
536636,Evamontes@viajes.cl,41096,Huelva,Toledo,70,1079,36000,Renfe
536637,Mateopulido@viajes.cl,77010,Orihuela,Ávila,66,4038,371000,Eurostar
536638,blpaga@viajes.cl,75170,Ávila,Parla,31,2230,265000,AVE
536639,ramite@viajes.cl,86422,"Las Palmas de Gran Canaria",ZAMORA!!!,69,781,41000,"Southwest Airlines"
536640,alejandra851@viajes.cl,25407,Cádiz,"TALAVERA DE LA REINA!!!",32,2155,184000,"VR (Finlandia)"
536644,Oensaol@viajes.cl,15250,"El Puerto de Santa María",Móstoles,50,3269,91000,ADO
536653,Sta.valles@viajes.cl,13742,Gandía,"Ciudad Real",28,1534,140000,Amtrak
536657,santiago8558@viajes.cl,34566,Granada,"Talavera de la Reina",31,914,182000,JetSur
536665,Gonzaloregalado@viajes.cl,76833,"Talavera de la Reina",Tarragona,32,2808,179000,"Buses Nilahue"
536673,Adrianazaragoza@viajes.cl,23224,Tarragona,Cuenta,42,1497,176000,"Omnibus de México"
536681,Pilarmaya@viajes.cl,25226,"Santa Coloma de Gramanet",MéRIDA!!!,50,277,189000,"CP (Portugal)"
536683,raquel8972@viajes.cl,51428,Leganés,Pamplona,32,795,96000,"MÁV (Hungría)"
536686,andrea9809@viajes.cl,63442,Pamplona,Guadalajara,32,1976,174000,AVE
536687,Alfonsotrujillo@viajes.cl,92418,Motril,Gecho,39,3508,114000,"Primera Plus"
536688,cosOego@viajes.cl,31154,Gecho,Granada,50,695,121000,"Via Bariloche"
536693,TimoteojimOAnez@viajes.cl,68195,x,Zaragoza,49,2884,120000,Damas
536702,ArturochavarrOAa@viajes.cl,21362,Sagunto,Oviedo,17,4179,497000,"Alaska Airlines"
536706,Mariluaguirre@viajes.cl,61966,Pamplona,"San Fernando",95,2691,252000,"PKP (Polonia)"
536707,Claudioescamilla@viajes.cl,25801,"san fernando#",Rubí,12,1077,43000,"TGV (SNCF)"
536713,dialsa@viajes.ceele,3533,orihuela#,Arrecife,49,487,150000,"ETN Turistar"
536721,anluvasa@viajes.cl,54459,Arrecife,Sevilla,41,4120,106000,JetSur
536726,sofia9256@viajes.cl,45744,Mérida,"Torrejón de Ardoz",15,1721,61000,"RZD (Rusia)"
536729,Alfredojurado@viajes.cl,49929,"Torrejón de Ardoz",Cuenta,5,3549,123000,"DSB (Dinamarca)"
536735,patricio8282@viajes.cl,151,Cuenta,Parla,60,3267,266000,Renfe
536741,francisca3833@viajes.cl,50358,Lérida,"Dos Hermanas",76,1062,101000,"CP (Portugal)"
536749,AndrOosdelao@viajes.cl,7469,"Dos Hermanas",Barcelona,15,3110,213000,"ZFBH (Bosnia y Herzegovina)"
536750,tomOes2271@viajes.cl,78498,Barcelona,OVIEDO!!!,91,2024,120000,"CD (República Checa)"
536751,Luzmata@viajes.cl,49435,Sagunto,Marbella,50,1928,58000,"Buses Nilahue"
536752,maceab@viajes.cl,81600,Gijón,"Alcalá de Guadaira",45,1851,81000,"NS International"
536757,Sra.raya@viajes.cl,28849,Mérida,Pamplona,13,2767,154000,KLM
536759,sabanOe@viajes.cl,1714,Mérida,Tarrasa,42,2791,85000,"Air Canada"
536763,FlorenciajOequez@viajes.ceele,14968,León,RUBí!!!,72,3500,249000,Qantas
536773,AlfonsopOorez@viajes.cl,73796,Lérida,Puertollano,30,1082,42000,"ZSSK (Eslovaquia)"
536775,cralir@viajes.cl,71092,Puertollano,Rivas-Vaciamadrid,90,2924,267000,"VRZ (Croacia)"
536776,lilia5199@viajes.cl,99730,Rivas-Vaciamadrid,"Jerez de la Frontera",93,3289,238000,"TGV (SNCF)"
536783,AntoniaholguOAn@viajes.cl,24202,Cuenta,Cuenta,44,x,99000,"EME Bus"
536784,beybvi@viajes.cl,10344,Cuenta,Granada,31,1030,151000,"Pullman Bus"
536789,amalia9799@viajes.cl,82678,Estepona,Barcelona,32,1841,95000,"Copa Airlines"
536795,carolina5670@viajes.ceele,65726,Barcelona,Córdoba,14,3926,256000,"Wizz Air"
536796,srmadecaalpo@viajes.cl,90552,Arrecife,"Pozuelo de Alarcón",55,1306,136000,"Delta Air Lines"
536799,Antonioalvarado@viajes.ceele,91370,"Pozuelo de Alarcón",Mataró,91,2147,172000,"Etihad Airways"
536813,dOobora5259@viajes.cl,10691,Orense,Jaén,47,2778,75000,"El Rápido Internacional"
536817,Saramuro@viajes.cl,54946,Sagunto,Irún,62,2030,61000,"ŽFBH (Bosnia y Herzegovina)"
536818,Manuelavega@viajes.cl,14881,estepona#,"Castellón de la Plana",21,1908,182000,"Etihad Airways"
536825,Felipemadrid@viajes.cl,3991,"Mollet del Vallés",Cartagena,30,2593,218000,"TGV (SNCF)"
536826,savOogo@viajes.cl,24486,Albacete,Parla,88,2303,259000,"Delta Air Lines"
536832,sonia2196@viajes.cl,60952,Bilbao,Sagunto,46,625,149000,Chevallier
536845,DOoborahenrOAquez@viajes.cl,98421,"Cerdañola del Vallés","Hospitalet de LLobregat",29,3067,326000,"Singapore Airlines"
536849,stjomanari@viajes.cl,4260,Gijón,Alcorcón,2,2339,105000,"ŽFBH (Bosnia y Herzegovina)"
536850,Claudiozayas@viajes.cl,83956,Gecho,Paterna,79,2720,266000,Lufthansa
536857,Alfredojurado@viajes.cl,38056,"Las Palmas de Gran Canaria","Roquetas de Mar",x,4171,137000,"Buses Nilahue"
536867,Samuelarenas@viajes.cl,69277,Majadahonda,Logroño,35,1482,81000,"Turkish Airlines"
536869,vicente3701@viajes.cl,76916,"Santa Cruz de Tenerife",Pontevedra,37,1479,190000,Socibus
536874,sr.4832@viajes.cl,22144,Calahorra,Lorca,31,498,81000,"ETN Turistar"
536878,Sr.abeyta@viajes.ceele,43446,Albacete,"Hospitalet de LLobregat",31,1893,123000,"Omnibus de México"
536879,rocio5151@viajes.cl,88346,"hospitalet de llobregat#",Benidorm,49,3294,50000,JetSur
536883,marona@viajes.cl,42024,"Ciudad Real",Valladolid,47,2644,120000,Socibus
536884,vicente3826@viajes.cl,21889,Torremolinos,Bilbao,94,2443,291000,Iberia
536891,gaocce@viajes.cl,54772,Bilbao,Sevilla,14,2586,195000,JetBlue
536896,comoro@viajes.cl,11041,Sevilla,Gerona,6,503,46000,"Alaska Airlines"
536897,jusata@viajes.cl,19813,Alcorcón,Orense,31,144,14000,"Crucero del Norte"
536905,alberto7497@viajes.cl,64206,Orense,Málaga,40,1535,91000,"Buses Nilahue"
536913,ramOIn6494@viajes.cl,89956,Málaga,Oviedo,41,383,40000,"Estrella Roja"
536914,sr.1202@viajes.ceele,1476,Granollers,Ceuta,85,3228,141000,"RZD (Rusia)"
536918,elpOeba@viajes.ceele,66939,Elche,Valladolid,72,586,193000,"RZD (Rusia)"
536931,Juanatoro@viajes.cl,26459,León,Badajoz,85,3621,420000,"ŽFBH (Bosnia y Herzegovina)"
536935,Lourdeszamora@viajes.cl,80820,Badajoz,CóRDOBA!!!,25,2590,287000,"NSB (Noruega)"
536936,dosech@viajes.ceele,70178,Córdoba,TORREMOLINOS!!!,9,1917,145000,"SJ (Suecia)"
536939,sra.7007@viajes.cl,65132,"Santa Lucía de Tirajana",Sagunto,x,3231,166000,KLM
536952,stjoartOo@viajes.cl,65748,"Dos Hermanas",Marbella,84,3307,157000,"RZD (Rusia)"
536958,Sra.olvera@viajes.cl,53852,Zaragoza,Calahorra,14,3693,234000,"LATAM Airlines"
536959,Micaelamedrano@viajes.cl,14245,Calahorra,Sevilla,74,1866,56000,"Turkish Airlines"
536960,marta1746@viajes.cl,61623,Sevilla,"San Sebastián",30,610,134000,KLM
536967,alguor@viajes.cl,15473,"San Sebastián",Ávila,53,206,175000,"American Airlines"
536968,Sr.badillo@viajes.cl,94054,Granollers,Viladecans,39,292,190000,"DSB (Dinamarca)"
536974,Catalinaozuna@viajes.cl,80218,Pontevedra,Granollers,31,1117,32000,"CP (Portugal)"
536975,Rebecaolivo@viajes.cl,34458,Granollers,"Castellón de la Plana",16,3872,222000,Trenitalia
536982,HernOenpaz@viajes.cl,76463,"Castellón de la Plana","Alcalá de Henares",47,4153,303000,"ŽSSK (Eslovaquia)"
536987,sofubo@viajes.cl,63791,Rubí,"SANTA LUCíA DE TIRAJANA!!!",38,3688,50000,Megabus
536993,Patriciosisneros@viajes.cl,33593,Badalona,Lorca,22,757,44000,"DSB (Dinamarca)"
536997,josOo7758@viajes.cl,35304,Torrelavega,"CASTELLóN DE LA PLANA!!!",94,369,124000,Avianca
536999,iszOUba@viajes.cl,46694,Zamora,Valladolid,37,3402,107000,"ŽFBH (Bosnia y Herzegovina)"
537000,alsaal@viajes.cl,97392,"Santa Lucía de Tirajana",Torrelavega,15,4191,364000,Aeroméxico
537001,isabel4543@viajes.cl,54068,Rubí,Granollers,41,239,46000,Andesmar
537004,Sra.montero@viajes.cl,69905,Granollers,Guadalajara,40,1590,107000,"El Rápido Internacional"
537008,stlufoca@viajes.cl,77682,"El Puerto de Santa María","El Ejido",53,3085,163000,"BDZ (Bulgaria)"
537016,clarni@viajes.cl,61749,"El Puerto de Santa María",Pamplona,30,2601,269000,"VRZ (Croacia)"
537024,Carlaanguiano@viajes.cl,92647,Pamplona,"Santiago de Compostela",27,2659,272000,"DSB (Dinamarca)"
537025,teodoro7348@viajes.cl,62464,Irún,Algeciras,28,3696,388000,AVE
537027,anfiqu@viajes.ceele,2201,Valdemoro,Santander,28,3182,386000,"ŽFBH (Bosnia y Herzegovina)"
537028,clara1840@viajes.cl,54557,málaga#,Ávila,31,913,81000,"Primera Plus"
537034,InOosvenegas@viajes.cl,6857,Gerona,Getafe,15,2778,93000,EasyJet
537041,irene3939@viajes.cl,18455,Getafe,Orense,15,3406,254000,"Turkish Airlines"
537044,Sta.ponce@viajes.cl,91808,Irún,Sagunto,34,966,148000,Greyhound
537045,Sra.chOevez@viajes.cl,44090,Sagunto,Majadahonda,36,3473,53000,"Omnibus de México"
537060,jecaol@viajes.cl,79493,Granada,Majadahonda,3,716,36000,"SJ (Suecia)"
537061,Sra.gutiOorrez@viajes.cl,56194,Bilbao,"San Sebastián",44,643,150000,"Via Bariloche"
537066,alicia9800@viajes.cl,42163,"San Sebastián","Cerdañola del Vallés",39,3915,80000,Alsa
537072,sra.3768@viajes.cl,94217,"Cerdañola del Vallés",Avilés,45,3973,119000,Chevallier
537079,carmen9375@viajes.ceele,38622,Jaén,Algeciras,44,2502,151000,"Turkish Airlines"
537083,sara8283@viajes.cl,85445,Alcobendas,Torremolinos,42,2726,128000,"Via Bariloche"
537084,geesga@viajes.cl,71811,Torremolinos,Valencia,48,2979,112000,JetSur
537085,sra.4397@viajes.cl,24663,Valencia,"Collado Villalba",37,3515,171000,Monbus
537086,stsimocOI@viajes.cl,25460,Santander,"Alcalá de Henares",28,1082,51000,WestJet
537092,Sra.trejo@viajes.cl,670,Cádiz,"Talavera de la Reina",99,4058,369000,"VR (Finlandia)"
537093,Anamireles@viajes.cl,43296,Majadahonda,Algeciras,30,620,53000,Damas
537098,srjeamga@viajes.cl,73474,Algeciras,Parla,37,1022,61000,"Pullman Bus"
537103,Saraozuna@viajes.ceele,80521,"Santa Cruz de Tenerife","Cornellá de Llobregat",40,901,134000,"Flecha Bus"
537109,maeuprse@viajes.cl,85100,"Cornellá de Llobregat",Cuenta,38,2003,183000,Socibus
537116,elsa5626@viajes.cl,6369,Barcelona,Albacete,32,3776,221000,"ŽSSK (Eslovaquia)"
537195,jaboca@viajes.cl,39301,Gecho,Lugo,20,456,43000,Qantas
537117,Juangarza@viajes.cl,93740,Albacete,Santander,20,1258,67000,"VRZ (Croacia)"
537122,Luzbernal@viajes.cl,6834,Santander,"Cornellá de Llobregat",89,1614,151000,"ZFBH (Bosnia y Herzegovina)"
537126,jemapa@viajes.cl,3943,Elda,Leganés,98,1821,200000,"NSB (Noruega)"
537129,joemseri@viajes.cl,88190,Leganés,Fuengirola,1,4236,215000,"PKP (Polonia)"
537130,roberto7144@viajes.cl,39300,"Hospitalet de LLobregat",Barcelona,38,2703,190000,"Buses Nilahue"
537131,Sr.alonzo@viajes.cl,15111,Mijas,Ferrol,38,3027,170000,"EME Bus"
537133,Guillermovaladez@viajes.cl,90177,"La Coruña",Segovia,99,1872,186000,"ZSSK (Eslovaquia)"
537137,sacrbu@viajes.cl,14413,Irún,"Roquetas de Mar",25,3416,230000,Thalys
537145,Ramonaalva@viajes.cl,62494,Torrelavega,"Las Palmas de Gran Canaria",43,2059,135000,"ETN Turistar"
537147,sra.7316@viajes.cl,89137,"Las Palmas de Gran Canaria",Inca,38,3950,149000,"Buses Romani"
537154,Antonianegrete@viajes.ceele,55275,Inca,León,41,1632,185000,FlixBus
537158,gotrja@viajes.cl,78024,Gerona,Ferrol,33,2436,76000,BoltBus
537163,Claudiocuellar@viajes.ceele,49928,Jaén,Toledo,4,2491,183000,"SBB (Suiza)"
537169,susana1494@viajes.cl,73775,Toledo,"Sanlúcar de Barrameda",3,1207,94000,"MÁV (Hungría)"
537170,LeonorconcepciOIn@viajes.cl,6759,estepona#,Arrecife,31,1191,60000,"Etihad Airways"
537178,mamari@viajes.cl,65024,Arrecife,Córdoba,9,3807,419000,"Alaska Airlines"
537182,andrea7429@viajes.cl,52990,córdoba#,VALDEMORO!!!,4,4102,164000,Aeroméxico
537185,marcos4508@viajes.cl,75238,Barcelona,Arrecife,48,4267,442000,"ZSSK (Eslovaquia)"
537187,Patriciotello@viajes.cl,51931,Benidorm,SEVILLA!!!,4,3610,173000,Italo
537194,corool@viajes.cl,64869,Sevilla,Valencia,75,1710,120000,"ZS (Eslovenia)"
537198,JosOocruz@viajes.cl,94055,"Palma de Mallorca","Torrejón de Ardoz",86,2083,180000,"VR (Finlandia)"
537201,fepuba@viajes.cl,48424,"Torrejón de Ardoz",Rivas-Vaciamadrid,12,1261,53000,"SJ (Suecia)"
537202,sta.8454@viajes.cl,21876,Algeciras,"Pozuelo de Alarcón",54,3819,215000,Trenitalia
537210,lujOete@viajes.cl,87107,"castellón de la plana#",GECHO!!!,50,2153,167000,Megabus
537211,josOo7758@viajes.cl,47461,Gerona,Ávila,95,3416,136000,Emirates
537217,cOosar7548@viajes.cl,70056,Ávila,"Molina de Segura",4,499,141000,Lufthansa
537219,sranvape@viajes.cl,49073,Ávila,Puertollano,21,662,125000,"Southwest Airlines"
537221,anfrte@viajes.cl,97506,Madrid,Manresa,49,2591,100000,FlixBus
537229,OIscar7270@viajes.cl,23930,Manresa,Torremolinos,49,2333,51000,ADO
537237,stmiOenalOeg@viajes.cl,43380,"San Cristróbal de la Laguna",Cuenta,97,2018,102000,"RZD (Rusia)"
537241,Sr.avilOos@viajes.cl,92059,Cuenta,Alicante,1,738,128000,"Nederlandse Sp"
537242,RamOInsepOUlveda@viajes.cl,81704,"Palma de Mallorca",Lérida,42,3802,163000,Damas
537248,guabsa@viajes.cl,65272,Lérida,LéRIDA!!!,35,1471,74000,"Primera Plus"
537251,sta.9484@viajes.cl,5590,Lérida,"Cerdañola del Vallés",33,3659,147000,Futura
537258,Virginiaparedes@viajes.cl,18966,Linares,Fuenlabrada,42,1008,61000,"SNCB (Bélgica)"
537265,Lorenzosamaniego@viajes.ceele,80128,Fuenlabrada,Zamora,78,456,14000,"HŽ (Croacia)"
537273,Sra.rocha@viajes.cl,38818,Irún,"Palma de Mallorca",47,3870,111000,BoltBus
537275,alejandro6382@viajes.cl,90370,Cádiz,Viladecans,69,2868,133000,"NS International"
