codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,comodidades,paradas
536476,gaocce@viajes.cl,30481,Lorca,"Cornellá de Llobregat",8,2911,253000,"VRZ (Croacia)","{""Aire acondicionado"",""Asientos reclinables"",Comida,TV,Wifi,Baño}","{""El Prat de LLobregat"",""Sanlúcar de Barrameda"",Alicante,Avilés}"
536478,Sta.negrete@viajes.cl,x,Ceuta,"La Línea de la Concepción",60,x,15000,"ZFBH (Bosnia y Herzegovina)",{},"{Irún,Bilbao,Murcia,Avilés}"
536501,agpava@viajes.ceele,25409,Pamplona,x,94,x,333000,"VR (Finlandia)","{TV,Agua,""Asientos reclinables"",Baño,Comida,Wifi,""Aire acondicionado""}","{""Molina de Segura""}"
536521,Franciscoalejandro@viajes.cl,85844,Avilés,Palencia,29,3838,181000,Amtrak,"{TV,Calefacción,Agua,""Asientos reclinables"",Wifi,Comida,Baño}",{Algeciras}
536525,cOosar2050@viajes.cl,8272,Palencia,Guadalajara,1,1419,66000,"VRZ (Croacia)","{Comida,Calefacción,Wifi}","{Lorca,Reus}"
536526,isabel4543@viajes.cl,77848,Coslada,Elda,69,2588,270000,Amtrak,"{""Asientos reclinables"",Baño,Calefacción,Comida,TV}","{Manresa,""Alcalá de Henares""}"
536527,Guadalupemontenegro@viajes.cl,34742,Móstoles,Calahorra,15,1070,98000,Italo,"{Agua,""Asientos reclinables"",Baño}","{Valencia,León,Mijas,Rubí}"
536529,sta.8042@viajes.cl,59747,sabadell#,"Alcalá de Henares",72,2886,373000,"RZD (Rusia)","{Agua,TV,""Asientos reclinables"",Comida,Calefacción,""Aire acondicionado""}","{""Mollet del Vallés""}"
536546,Patriciovillanueva@viajes.cl,47702,"La Coruña","Collado Villalba",89,391,131000,"NS International",{},"{""Santiago de Compostela"",León}"
536547,benjamOAn5601@viajes.cl,79379,"Collado Villalba",Lérida,26,2688,174000,Trenitalia,"{TV,Calefacción,Comida,Baño,""Aire acondicionado""}","{Segovia,Toledo,""Molina de Segura"",Tarragona}"
536555,gralro@viajes.ceele,72640,Sagunto,SEGOVIA!!!,62,3905,471000,"DSB (Dinamarca)","{Baño,Agua,Calefacción,""Aire acondicionado"",Comida,Wifi,""Asientos reclinables""}","{Parla,Ceuta,Rubí}"
536556,lourdes4557@viajes.cl,57497,Segovia,Salamanca,43,1827,140000,"SNCB (Bélgica)","{Agua,""Asientos reclinables"",TV,""Aire acondicionado""}","{Rubí,""Palma de Mallorca"",""La Coruña""}"
536582,TimoteoguzmOen@viajes.cl,63527,Manresa,Granada,8,1624,60000,"Deutsche Bahn (DB)","{Wifi,TV,Agua,""Aire acondicionado""}","{""San Sebastián"",Viladecans}"
536583,FlorenciajOequez@viajes.cl,31408,Granada,"Castellón de la Plana",73,3846,212000,Eurostar,"{TV,""Asientos reclinables"",Calefacción,""Aire acondicionado"",Wifi,Comida,Agua}","{Telde,Tarrasa}"
536587,JorgeterOen@viajes.cl,95142,"Castellón de la Plana",Madrid,13,1562,157000,"ŽSSK (Eslovaquia)","{Calefacción,Agua,Baño,Comida}","{Alicante,Málaga,Orense,Tarrasa,León}"
536595,Ceciliaanguiano@viajes.cl,24952,Rubí,COSLADA!!!,1,2665,111000,AVE,"{Wifi,TV,Agua,Calefacción,""Aire acondicionado""}","{""La Coruña""}"
536596,roberto7144@viajes.cl,15794,Coslada,Gerona,25,798,35000,"NS International","{""Aire acondicionado"",Wifi,TV}","{Salamanca,Ceuta}"
536597,miguel7612@viajes.cl,19589,"hospitalet de llobregat#","Palma de Mallorca",38,1085,117000,"SBB (Suiza)","{Calefacción,TV,Agua}","{Cuenta,Gijón,Mérida,Badajoz,Arrecife}"
536598,sta.6904@viajes.cl,11734,"Palma de Mallorca",Leganés,29,1387,100000,"NSB (Noruega)","{Comida,Baño,TV}","{""San Fernando""}"
536606,sr.4355@viajes.cl,65362,Mijas,"Jerez de la Frontera",15,4139,159000,Amtrak,"{Wifi,Comida,""Asientos reclinables"",""Aire acondicionado"",Calefacción,TV,Baño}","{Valencia,Cádiz,Segovia,Gandía,Ceuta}"
536611,rebeca1699@viajes.cl,67737,"Jerez de la Frontera",Sagunto,56,932,72000,"SNCB (Bélgica)","{Agua,Calefacción,""Aire acondicionado""}",{Algeciras}
536615,Luisalicea@viajes.cl,19743,Móstoles,Logroño,9,2781,95000,"SJ (Suecia)","{Baño,Calefacción,Comida,""Asientos reclinables"",Agua}","{""Santa Lucía de Tirajana"",Getafe,Santander,""Collado Villalba""}"
536616,Sra.archuleta@viajes.cl,88324,Logroño,Sagunto,58,863,70000,Italo,"{TV,Baño,Wifi}",{Zamora}
536627,claudio1975@viajes.cl,51430,Vitoria,Mataró,6,211,112000,"NS International",{},"{""Hospitalet de LLobregat"",""San Cristróbal de la Laguna""}"
536636,Evamontes@viajes.cl,41096,Huelva,Toledo,70,1079,36000,Renfe,"{Baño,Wifi,Comida}","{Logroño,""Pozuelo de Alarcón"",Vitoria,""Jerez de la Frontera""}"
536637,Mateopulido@viajes.cl,77010,Orihuela,Ávila,66,4038,371000,Eurostar,"{""Aire acondicionado"",Wifi,Baño,Agua,Comida,TV,""Asientos reclinables""}",{Zaragoza}
536638,blpaga@viajes.cl,75170,Ávila,Parla,31,2230,265000,AVE,"{TV,Calefacción,""Aire acondicionado"",Wifi,Agua}","{""Santa Lucía de Tirajana"",Baracaldo,Telde,""San Fernando""}"
536640,alejandra851@viajes.cl,25407,Cádiz,"TALAVERA DE LA REINA!!!",32,2155,184000,"VR (Finlandia)","{Calefacción,Baño,""Asientos reclinables"",""Aire acondicionado""}","{Alcobendas,Pamplona}"
536645,bevava@viajes.cl,x,Puertollano,GANDíA!!!,84,2698,120000,"MÁV (Hungría)","{""Asientos reclinables"",Comida,TV,Agua,""Aire acondicionado""}",{Fuengirola}
536653,Sta.valles@viajes.cl,13742,Gandía,"Ciudad Real",28,1534,140000,Amtrak,"{""Aire acondicionado"",TV,""Asientos reclinables"",Agua}","{Puertollano,Alicante,""San Sebastián""}"
536683,raquel8972@viajes.cl,51428,Leganés,Pamplona,32,795,96000,"MÁV (Hungría)","{Baño,Comida,""Asientos reclinables""}","{Motril,Algeciras}"
536686,andrea9809@viajes.cl,63442,Pamplona,Guadalajara,32,1976,174000,AVE,"{TV,Agua,""Aire acondicionado"",""Asientos reclinables""}","{Lugo,""Mollet del Vallés""}"
536706,Mariluaguirre@viajes.cl,61966,Pamplona,"San Fernando",95,2691,252000,"PKP (Polonia)","{Agua,TV,Comida,""Asientos reclinables"",""Aire acondicionado""}","{Sabadell,Pontevedra,Zamora,""Dos Hermanas""}"
536707,Claudioescamilla@viajes.cl,25801,"san fernando#",Rubí,12,1077,43000,"TGV (SNCF)","{TV,""Asientos reclinables"",Wifi}","{""Las Palmas de Gran Canaria""}"
536726,sofia9256@viajes.cl,45744,Mérida,"Torrejón de Ardoz",15,1721,61000,"RZD (Rusia)","{Agua,Calefacción,""Aire acondicionado"",Comida}","{""Santiago de Compostela"",Vigo,Sagunto}"
536729,Alfredojurado@viajes.cl,49929,"Torrejón de Ardoz",Cuenta,5,3549,123000,"DSB (Dinamarca)","{Agua,Calefacción,Baño,Comida,TV,Wifi}","{Almería,Ávila}"
536735,patricio8282@viajes.cl,151,Cuenta,Parla,60,3267,266000,Renfe,"{""Asientos reclinables"",TV,Agua,Comida,Baño,Wifi}","{""Las Palmas de Gran Canaria"",Sevilla,Cuenta,""La Línea de la Concepción""}"
536741,francisca3833@viajes.cl,50358,Lérida,"Dos Hermanas",76,1062,101000,"CP (Portugal)","{Comida,Wifi,""Asientos reclinables""}","{Ponferrada,Madrid}"
536749,AndrOosdelao@viajes.cl,7469,"Dos Hermanas",Barcelona,15,3110,213000,"ZFBH (Bosnia y Herzegovina)","{""Asientos reclinables"",Agua,TV,Wifi,Baño,""Aire acondicionado""}",{Telde}
536750,tomOes2271@viajes.cl,78498,Barcelona,OVIEDO!!!,91,2024,120000,"CD (República Checa)","{Calefacción,""Asientos reclinables"",""Aire acondicionado"",TV}","{Telde,""Cerdañola del Vallés"",""El Prat de LLobregat"",Vitoria,Valladolid}"
536752,maceab@viajes.cl,81600,Gijón,"Alcalá de Guadaira",45,1851,81000,"NS International","{TV,""Asientos reclinables"",Comida,Baño}","{Linares,""Cerdañola del Vallés"",""Castellón de la Plana"",""Mollet del Vallés"",Cuenta}"
536773,AlfonsopOorez@viajes.cl,73796,Lérida,Puertollano,30,1082,42000,"ZSSK (Eslovaquia)","{""Asientos reclinables"",Comida,Calefacción}",{Benidorm}
536775,cralir@viajes.cl,71092,Puertollano,Rivas-Vaciamadrid,90,2924,267000,"VRZ (Croacia)","{Comida,""Aire acondicionado"",Calefacción,Agua,TV,Wifi}",{Murcia}
536776,lilia5199@viajes.cl,99730,Rivas-Vaciamadrid,"Jerez de la Frontera",93,3289,238000,"TGV (SNCF)","{Baño,Wifi,Comida,TV,Agua,""Asientos reclinables""}","{""Alcalá de Guadaira"",Alcobendas}"
536817,Saramuro@viajes.cl,54946,Sagunto,Irún,62,2030,61000,"ŽFBH (Bosnia y Herzegovina)","{Baño,TV,Agua,Wifi}","{""San Sebastían de los Reyes"",""Torrejón de Ardoz"",""Alcalá de Henares""}"
536825,Felipemadrid@viajes.cl,3991,"Mollet del Vallés",Cartagena,30,2593,218000,"TGV (SNCF)","{""Aire acondicionado"",Comida,TV,""Asientos reclinables"",Calefacción}","{Oviedo,""Alcalá de Guadaira"",Almería,Móstoles,""Dos Hermanas""}"
536918,elpOeba@viajes.ceele,66939,Elche,Valladolid,72,586,193000,"RZD (Rusia)",{},"{""Cornellá de Llobregat"",Irún,Logroño,Alcobendas}"
536931,Juanatoro@viajes.cl,26459,León,Badajoz,85,3621,420000,"ŽFBH (Bosnia y Herzegovina)","{""Asientos reclinables"",Calefacción,Agua,Baño,Wifi,TV,""Aire acondicionado""}","{Vigo,Fuenlabrada}"
536935,Lourdeszamora@viajes.cl,80820,Badajoz,CóRDOBA!!!,25,2590,287000,"NSB (Noruega)","{Comida,""Asientos reclinables"",TV,Baño,Wifi}",{Alicante}
536936,dosech@viajes.ceele,70178,Córdoba,TORREMOLINOS!!!,9,1917,145000,"SJ (Suecia)","{""Aire acondicionado"",Calefacción,Baño,Wifi}","{Fuenlabrada,""Hospitalet de LLobregat"",Inca}"
536952,stjoartOo@viajes.cl,65748,"Dos Hermanas",Marbella,84,3307,157000,"RZD (Rusia)","{Calefacción,Agua,Baño,Wifi,""Aire acondicionado"",TV}",{Cuenta}
536968,Sr.badillo@viajes.cl,94054,Granollers,Viladecans,39,292,190000,"DSB (Dinamarca)",{},{Huelva}
536974,Catalinaozuna@viajes.cl,80218,Pontevedra,Granollers,31,1117,32000,"CP (Portugal)","{Comida,TV,""Aire acondicionado""}","{Avilés,Alicante,Zaragoza}"
536975,Rebecaolivo@viajes.cl,34458,Granollers,"Castellón de la Plana",16,3872,222000,Trenitalia,"{""Asientos reclinables"",Comida,Agua,TV,Baño,Wifi,""Aire acondicionado""}","{Alicante,Granada,""Las Palmas de Gran Canaria"",Granada}"
536982,HernOenpaz@viajes.cl,76463,"Castellón de la Plana","Alcalá de Henares",47,4153,303000,"ŽSSK (Eslovaquia)","{Agua,Calefacción,TV,Wifi,""Aire acondicionado"",Comida,Baño}","{Almería,""Santiago de Compostela""}"
536993,Patriciosisneros@viajes.cl,33593,Badalona,Lorca,22,757,44000,"DSB (Dinamarca)","{Agua,Baño,Wifi}",{Ferrol}
x,clpeza@viajes.cl,56671,"Pozuelo de Alarcón",Ávila,49,1417,51000,x,"{""Asientos reclinables"",Agua,TV}",{Algeciras}
536999,iszOUba@viajes.cl,46694,Zamora,Valladolid,37,3402,107000,"ŽFBH (Bosnia y Herzegovina)","{Agua,""Aire acondicionado"",Wifi,""Asientos reclinables"",Comida,TV}","{Madrid,Algeciras,""San Fernando"",Cartagena,Orense}"
537008,stlufoca@viajes.cl,77682,"El Puerto de Santa María","El Ejido",53,3085,163000,"BDZ (Bulgaria)","{""Aire acondicionado"",Wifi,Calefacción,Comida,Agua,Baño}","{""Mollet del Vallés"",Murcia,Toledo,Arrecife,Gerona}"
537016,clarni@viajes.cl,61749,"El Puerto de Santa María",Pamplona,30,2601,269000,"VRZ (Croacia)","{""Aire acondicionado"",TV,Comida,Wifi,""Asientos reclinables""}","{""Hospitalet de LLobregat"",Alcorcón}"
537024,Carlaanguiano@viajes.cl,92647,Pamplona,"Santiago de Compostela",27,2659,272000,"DSB (Dinamarca)","{TV,Calefacción,""Aire acondicionado"",Agua,Baño}","{Mataró,Calahorra,Majadahonda,""Alcalá de Henares""}"
537025,teodoro7348@viajes.cl,62464,Irún,Algeciras,28,3696,388000,AVE,"{Comida,TV,Baño,""Asientos reclinables"",""Aire acondicionado"",Agua,Wifi}","{Sabadell,Elda,León}"
537027,anfiqu@viajes.ceele,2201,Valdemoro,Santander,28,3182,386000,"ŽFBH (Bosnia y Herzegovina)","{Agua,""Aire acondicionado"",""Asientos reclinables"",Comida,TV,Baño}",{Majadahonda}
537060,jecaol@viajes.cl,79493,Granada,Majadahonda,3,716,36000,"SJ (Suecia)",{},"{Manresa,Rivas-Vaciamadrid}"
537092,Sra.trejo@viajes.cl,670,Cádiz,"Talavera de la Reina",99,4058,369000,"VR (Finlandia)","{Calefacción,Wifi,""Asientos reclinables"",TV,Baño,Agua,""Aire acondicionado""}",{Getafe}
537116,elsa5626@viajes.cl,6369,Barcelona,Albacete,32,3776,221000,"ŽSSK (Eslovaquia)","{Calefacción,""Asientos reclinables"",Comida,Baño,Agua,TV,""Aire acondicionado""}","{Motril,Murcia}"
537117,Juangarza@viajes.cl,93740,Albacete,Santander,20,1258,67000,"VRZ (Croacia)","{Wifi,""Asientos reclinables"",TV}","{Ávila,Salamanca,Ferrol}"
537122,Luzbernal@viajes.cl,6834,Santander,"Cornellá de Llobregat",89,1614,151000,"ZFBH (Bosnia y Herzegovina)","{Wifi,Baño,TV,Calefacción}",{Avilés}
537126,jemapa@viajes.cl,3943,Elda,Leganés,98,1821,200000,"NSB (Noruega)","{""Asientos reclinables"",Calefacción,Agua,""Aire acondicionado""}","{""Talavera de la Reina"",""El Prat de LLobregat""}"
537129,joemseri@viajes.cl,88190,Leganés,Fuengirola,1,4236,215000,"PKP (Polonia)","{Baño,Calefacción,Comida,Wifi,TV,""Aire acondicionado"",Agua}","{""Roquetas de Mar"",Leganés,""Alcalá de Henares""}"
537133,Guillermovaladez@viajes.cl,90177,"La Coruña",Segovia,99,1872,186000,"ZSSK (Eslovaquia)","{Baño,""Aire acondicionado"",Comida,Calefacción}","{""San Cristróbal de la Laguna"",Mataró,Tarrasa,Gandía,Ávila}"
537163,Claudiocuellar@viajes.ceele,49928,Jaén,Toledo,4,2491,183000,"SBB (Suiza)","{Comida,TV,Wifi,""Aire acondicionado"",Agua}","{Irún,""San Sebastían de los Reyes"",Inca,""Dos Hermanas"",Vigo}"
537169,susana1494@viajes.cl,73775,Toledo,"Sanlúcar de Barrameda",3,1207,94000,"MÁV (Hungría)","{Agua,Wifi,TV}","{""Cerdañola del Vallés"",Elche,""Dos Hermanas"",""Jerez de la Frontera""}"
537185,marcos4508@viajes.cl,75238,Barcelona,Arrecife,48,4267,442000,"ZSSK (Eslovaquia)","{""Aire acondicionado"",Calefacción,TV,""Asientos reclinables"",Baño,Agua,Comida}","{Vigo,Rivas-Vaciamadrid,Jaén,Algeciras,Getafe}"
537198,JosOocruz@viajes.cl,94055,"Palma de Mallorca","Torrejón de Ardoz",86,2083,180000,"VR (Finlandia)","{Wifi,""Aire acondicionado"",TV,Baño}","{""El Ejido"",Alicante,Ferrol,Elche}"
537202,sta.8454@viajes.cl,21876,Algeciras,"Pozuelo de Alarcón",54,3819,215000,Trenitalia,"{Wifi,Calefacción,""Aire acondicionado"",Baño,Comida,Agua,""Asientos reclinables""}","{""El Puerto de Santa María"",Arrecife}"
537237,stmiOenalOeg@viajes.cl,43380,"San Cristróbal de la Laguna",Cuenta,97,2018,102000,"RZD (Rusia)","{TV,""Asientos reclinables"",""Aire acondicionado"",Calefacción}","{""El Ejido"",""Alcalá de Henares"",Pamplona,Palencia,""Talavera de la Reina""}"
537241,Sr.avilOos@viajes.cl,92059,Cuenta,Alicante,1,738,128000,"Nederlandse Sp","{Agua,Wifi,Baño}",{Algeciras}
537258,Virginiaparedes@viajes.cl,18966,Linares,Fuenlabrada,42,1008,61000,"SNCB (Bélgica)","{Comida,Baño,""Aire acondicionado""}","{Lérida,""Santa Lucía de Tirajana"",Ceuta,Cartagena}"
537265,Lorenzosamaniego@viajes.ceele,80128,Fuenlabrada,Zamora,78,456,14000,"HŽ (Croacia)",{},"{Alcobendas,Fuenlabrada,""San Cristróbal de la Laguna""}"
537275,alejandro6382@viajes.cl,90370,Cádiz,Viladecans,69,2868,133000,"NS International","{Calefacción,Wifi,Comida,""Aire acondicionado"",Baño}","{""Talavera de la Reina"",""La Línea de la Concepción"",""Dos Hermanas""}"
537281,JerOInimorodarte@viajes.cl,9553,Viladecans,Rivas-Vaciamadrid,25,3665,278000,"ZSSK (Eslovaquia)","{Wifi,Calefacción,Comida,""Asientos reclinables"",Baño,TV,Agua}","{Granada,Albacete,Mijas,Almería}"
537316,Juliobatista@viajes.cl,80301,Linares,Inca,18,1472,173000,Thalys,"{Comida,""Asientos reclinables"",Wifi,TV}","{Logroño,""Alcalá de Henares"",""Sanlúcar de Barrameda""}"
537318,jerOInimo3783@viajes.cl,43473,inca#,Cuenta,61,2291,198000,"BDZ (Bulgaria)","{Agua,""Asientos reclinables"",Wifi,TV,Calefacción}","{""Pozuelo de Alarcón"",Badalona,Torrevieja,""San Cristróbal de la Laguna""}"
537319,gureja@viajes.cl,31571,cuenta#,Albacete,100,1439,57000,"ŽFBH (Bosnia y Herzegovina)","{""Asientos reclinables"",Baño,Agua}","{Alcoy,Lérida,Zaragoza}"
537337,Anaarreola@viajes.cl,76346,Motril,"Hospitalet de LLobregat",84,3533,247000,"SNCB (Bélgica)","{""Asientos reclinables"",Agua,Baño,""Aire acondicionado"",TV,Comida}","{Ávila,""Sanlúcar de Barrameda"",""San Sebastían de los Reyes"",Málaga}"
537343,emilio2212@viajes.cl,13864,Motril,Pontevedra,71,3147,267000,"CFR (Rumania)","{Agua,Wifi,""Aire acondicionado"",TV,""Asientos reclinables"",Comida}","{Leganés,Toledo,""Torrejón de Ardoz""}"
537350,josOo5167@viajes.cl,2364,Logroño,Zamora,98,627,98000,"ŽFBH (Bosnia y Herzegovina)",{},{Málaga}
537388,ocpagi@viajes.cl,29522,Valdemoro,Zamora,27,926,47000,"SBB (Suiza)","{Baño,Agua,""Aire acondicionado""}","{Gecho,""Sanlúcar de Barrameda"",Albacete,Badajoz}"
537389,Gabrielavera@viajes.cl,46726,Telde,Torrevieja,13,2717,96000,"PKP (Polonia)","{Comida,""Asientos reclinables"",""Aire acondicionado"",Baño,Agua}",{Gerona}
537403,Antoniouribe@viajes.cl,96929,bilbao#,Guadalajara,86,1067,117000,"ÖBB (Austria)","{Comida,Baño,Agua}","{Tarrasa,Valencia,Benidorm}"
537416,benjamOAn5220@viajes.cl,92736,Madrid,"La Coruña",89,3489,354000,"ŽSSK (Eslovaquia)","{Calefacción,Baño,Agua,Comida,""Aire acondicionado"",TV}",{Telde}
537418,matebadOA@viajes.cl,63225,Vigo,Torrevieja,60,3591,260000,"VRZ (Croacia)","{Baño,TV,Comida,Calefacción,""Aire acondicionado"",Wifi}",{Guadalajara}
537424,barbara9720@viajes.cl,95706,Torrevieja,Coslada,14,759,150000,"TGV (SNCF)","{Agua,""Asientos reclinables"",Wifi}","{Ferrol,Baracaldo,Torrevieja,Leganés,Pamplona}"
537433,Sr.valles@viajes.cl,8910,Tarragona,"Sanlúcar de Barrameda",65,3526,251000,Thalys,"{Agua,Wifi,TV,Baño,""Asientos reclinables"",Comida}","{Gandía,Sabadell,""San Cristróbal de la Laguna""}"
537434,srjucOobrma@viajes.cl,44948,"Sanlúcar de Barrameda",Fuengirola,30,1552,164000,"ŽSSK (Eslovaquia)","{TV,Agua,Calefacción,""Aire acondicionado""}","{Badalona,Orense,""La Coruña""}"
537435,masoarvi@viajes.cl,69884,Fuengirola,Lorca,96,2205,201000,"HŽ (Croacia)","{Calefacción,TV,Baño,""Asientos reclinables"",Agua}","{Albacete,Rivas-Vaciamadrid,Irún,""San Sebastían de los Reyes"",""San Cristróbal de la Laguna""}"
537444,OIscar4225@viajes.ceele,14098,inca#,ALICANTE!!!,79,245,94000,"ZFBH (Bosnia y Herzegovina)",{},"{Gerona,Salamanca}"
537446,Antoniouribe@viajes.cl,29183,Ávila,Avilés,33,3947,220000,"SNCB (Bélgica)","{""Aire acondicionado"",TV,""Asientos reclinables"",Comida,Calefacción,Agua,Baño}",{Zamora}
537447,mitoca@viajes.cl,68761,Avilés,Lugo,87,4107,286000,Italo,"{TV,""Asientos reclinables"",Wifi,Agua,Baño,Comida,""Aire acondicionado""}","{Cáceres,Sevilla,León}"
537448,Isabelbecerra@viajes.cl,39713,Lugo,Torrevieja,87,947,128000,Amtrak,"{""Asientos reclinables"",Calefacción,Comida}","{""Talavera de la Reina"",Calahorra}"
537452,Sra.rivero@viajes.ceele,95743,"El Puerto de Santa María",GANDíA!!!,97,495,18000,"CFR (Rumania)",{},"{""Chiclana de la Frontera"",Madrid,""Palma de Mallorca"",Toledo,""Castellón de la Plana""}"
537463,sta.8787@viajes.cl,66911,León,Coslada,25,2662,170000,"ZFBH (Bosnia y Herzegovina)","{Calefacción,Baño,Agua,TV,""Aire acondicionado""}","{Elche,Barcelona}"
537470,MiguelbermOUdez@viajes.cl,8745,Coslada,Jaén,34,2574,283000,"ŽFBH (Bosnia y Herzegovina)","{Agua,""Aire acondicionado"",Baño,Wifi,TV}","{Cartagena,Mataró,Badajoz,Benidorm}"
537508,Sr.armas@viajes.cl,78877,Bilbao,Calahorra,42,1370,57000,"SBB (Suiza)","{Comida,Baño,Calefacción}","{""San Cristróbal de la Laguna""}"
537509,Beatrizcollazo@viajes.cl,20341,calahorra#,Alcobendas,70,364,142000,Trenitalia,{},"{Fuenlabrada,""La Línea de la Concepción"",Córdoba,Ferrol}"
537525,dolores5119@viajes.cl,63971,"El Ejido","Castellón de la Plana",38,3202,249000,"ZFBH (Bosnia y Herzegovina)","{TV,""Asientos reclinables"",Comida,Wifi,Baño,""Aire acondicionado""}","{Cádiz,""Castellón de la Plana""}"
537533,concepciOIn9687@viajes.cl,48189,"Castellón de la Plana",Lérida,86,349,99000,"SNCB (Bélgica)",{},"{""Palma de Mallorca"",Benalmádena}"
537542,julio4678@viajes.cl,25033,"santa cruz de tenerife#","Mollet del Vallés",77,2668,136000,"ŽFBH (Bosnia y Herzegovina)","{Agua,Comida,""Aire acondicionado"",""Asientos reclinables"",TV}","{Zaragoza,Gerona,""Molina de Segura"",Barcelona,Logroño}"
537550,vepeag@viajes.cl,79664,"Mollet del Vallés",Sevilla,89,3025,170000,"VRZ (Croacia)","{""Aire acondicionado"",Agua,""Asientos reclinables"",Calefacción,Comida,Wifi}","{""San Sebastián""}"
537551,Homerohidalgo@viajes.cl,15177,Inca,Parla,39,419,99000,Renfe,{},"{Puertollano,Móstoles,""San Fernando""}"
537554,marilu4828@viajes.cl,87588,Parla,FUENLABRADA!!!,8,2689,204000,Eurostar,"{Baño,Comida,""Asientos reclinables"",Calefacción,Agua}","{Alcobendas,Alcorcón,Sagunto}"
537571,Sr.alonzo@viajes.cl,2332,madrid#,"MOLLET DEL VALLéS!!!",82,2007,184000,"SJ (Suecia)","{Calefacción,Agua,Wifi,Comida}","{Fuengirola,""San Fernando"",Tarragona,Benalmádena}"
537574,TeodorovOezquez@viajes.cl,54885,"Mollet del Vallés",Orense,94,3337,252000,Renfe,"{Agua,Wifi,""Asientos reclinables"",Comida,Calefacción,Baño}","{""El Ejido"",""Roquetas de Mar""}"
