codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo,comodidades
536541,Beatrizgallegos@viajes.cl,20231,Avilés,Murcia,34,3213,88000,Alsa,Cama,"{Baño,TV,Comida}"
536542,JuanasOeenz@viajes.cl,81467,Murcia,"Torrejón de Ardoz",34,3209,99000,"ETN Turistar",Cama,"{""Aire acondicionado"",TV,""Asientos reclinables""}"
536543,soreol@viajes.cl,73086,Gandía,Madrid,35,1934,68000,"EME Bus",Cama,"{Baño,""Asientos reclinables"",Agua}"
536544,stfealnOe@viajes.cl,16440,Fuenlabrada,Vigo,40,3683,92000,Plusmar,Cama,"{Calefacción,""Asientos reclinables"",""Aire acondicionado""}"
536545,crsopa@viajes.cl,59583,Vigo,Palencia,43,3245,77000,Chevallier,Cama,"{TV,Calefacción,Baño}"
536570,AndrOosvanegas@viajes.cl,15125,Gandía,Badalona,31,4294,121000,Monbus,Cama,"{Comida,""Asientos reclinables"",TV}"
536571,Micaelamedrano@viajes.cl,24766,Badalona,Orense,50,3151,166000,"ETN Turistar",Cama,"{Agua,Comida,Baño}"
536578,Sta.quesada@viajes.cl,98625,Orense,Logroño,39,3001,199000,Socibus,Cama,"{""Aire acondicionado"",Wifi,TV}"
536581,natalia5857@viajes.cl,32832,Málaga,Arrecife,31,441,46000,"Condor Bus",Semi-cama,"{Baño,""Aire acondicionado"",Wifi}"
536589,Caridadfajardo@viajes.cl,53203,"Hospitalet de LLobregat",Valladolid,50,2076,169000,"Pullman Bus",Cama,"{""Aire acondicionado"",Agua,TV}"
536591,Juancastellanos@viajes.cl,47342,Valladolid,Ponferrada,35,1203,87000,Monbus,Cama,"{TV,""Asientos reclinables"",Baño}"
536620,soprba@viajes.cl,41472,"Jerez de la Frontera",Manresa,30,3092,187000,Turbus,Cama,"{Wifi,Agua,Baño}"
536644,Oensaol@viajes.cl,15250,"El Puerto de Santa María",Móstoles,50,3269,91000,ADO,Cama,"{""Aire acondicionado"",TV,Calefacción}"
536657,santiago8558@viajes.cl,34566,Granada,"Talavera de la Reina",31,914,182000,JetSur,Cama,"{Calefacción,""Aire acondicionado"",Baño}"
536665,Gonzaloregalado@viajes.cl,76833,"Talavera de la Reina",Tarragona,32,2808,179000,"Buses Nilahue",Cama,"{Baño,Calefacción,""Asientos reclinables""}"
536673,Adrianazaragoza@viajes.cl,23224,Tarragona,Cuenta,42,1497,176000,"Omnibus de México",Cama,"{Calefacción,Comida,""Asientos reclinables""}"
536687,Alfonsotrujillo@viajes.cl,92418,Motril,Gecho,39,3508,114000,"Primera Plus",Cama,"{Agua,Comida,""Aire acondicionado""}"
536688,cosOego@viajes.cl,31154,Gecho,Granada,50,695,121000,"Via Bariloche",Cama,"{""Aire acondicionado"",Baño,TV}"
536693,TimoteojimOAnez@viajes.cl,68195,x,Zaragoza,49,2884,120000,Damas,Cama,x
536713,dialsa@viajes.ceele,3533,orihuela#,Arrecife,49,487,150000,"ETN Turistar",Semi-cama,"{Comida,Wifi,""Asientos reclinables""}"
536721,anluvasa@viajes.cl,54459,Arrecife,Sevilla,41,4120,106000,JetSur,Cama,"{Agua,""Asientos reclinables"",Comida}"
536751,Luzmata@viajes.cl,49435,Sagunto,Marbella,50,1928,58000,"Buses Nilahue",Cama,"{Agua,Baño,Comida}"
536783,AntoniaholguOAn@viajes.cl,24202,Cuenta,Cuenta,44,x,99000,"EME Bus",Cama,"{Baño,Calefacción,""Asientos reclinables""}"
536784,beybvi@viajes.cl,10344,Cuenta,Granada,31,1030,151000,"Pullman Bus",Cama,"{""Aire acondicionado"",Calefacción,""Asientos reclinables""}"
536813,dOobora5259@viajes.cl,10691,Orense,Jaén,47,2778,75000,"El Rápido Internacional",Cama,"{TV,Comida,Wifi}"
536832,sonia2196@viajes.cl,60952,Bilbao,Sagunto,46,625,149000,Chevallier,Cama,"{""Aire acondicionado"",Comida,TV}"
536857,Alfredojurado@viajes.cl,38056,"Las Palmas de Gran Canaria","Roquetas de Mar",x,4171,137000,"Buses Nilahue",Cama,"{TV,Baño,Wifi}"
536869,vicente3701@viajes.cl,76916,"Santa Cruz de Tenerife",Pontevedra,37,1479,190000,Socibus,Cama,"{Comida,TV,Calefacción}"
536874,sr.4832@viajes.cl,22144,Calahorra,Lorca,31,498,81000,"ETN Turistar",Cama,"{TV,Baño,""Aire acondicionado""}"
536878,Sr.abeyta@viajes.ceele,43446,Albacete,"Hospitalet de LLobregat",31,1893,123000,"Omnibus de México",Cama,"{Wifi,TV,""Asientos reclinables""}"
536879,rocio5151@viajes.cl,88346,"hospitalet de llobregat#",Benidorm,49,3294,50000,JetSur,Cama,"{Wifi,Baño,Calefacción}"
536883,marona@viajes.cl,42024,"Ciudad Real",Valladolid,47,2644,120000,Socibus,Cama,"{Agua,Baño,TV}"
536897,jusata@viajes.cl,19813,Alcorcón,Orense,31,144,14000,"Crucero del Norte",Normal,"{TV,Baño,""Asientos reclinables""}"
536905,alberto7497@viajes.cl,64206,Orense,Málaga,40,1535,91000,"Buses Nilahue",Cama,"{Wifi,Comida,Baño}"
536913,ramOIn6494@viajes.cl,89956,Málaga,Oviedo,41,383,40000,"Estrella Roja",Semi-cama,"{""Aire acondicionado"",Agua,Comida}"
536987,sofubo@viajes.cl,63791,Rubí,"SANTA LUCíA DE TIRAJANA!!!",38,3688,50000,Megabus,Cama,"{TV,Calefacción,""Asientos reclinables""}"
537001,isabel4543@viajes.cl,54068,Rubí,Granollers,41,239,46000,Andesmar,Normal,"{Calefacción,Baño,""Aire acondicionado""}"
537004,Sra.montero@viajes.cl,69905,Granollers,Guadalajara,40,1590,107000,"El Rápido Internacional",Cama,"{Calefacción,""Aire acondicionado"",Comida}"
537028,clara1840@viajes.cl,54557,málaga#,Ávila,31,913,81000,"Primera Plus",Cama,"{Agua,""Aire acondicionado"",Comida}"
537044,Sta.ponce@viajes.cl,91808,Irún,Sagunto,34,966,148000,Greyhound,Cama,"{TV,""Asientos reclinables"",Wifi}"
537045,Sra.chOevez@viajes.cl,44090,Sagunto,Majadahonda,36,3473,53000,"Omnibus de México",Cama,"{Comida,Agua,Wifi}"
x,emilio1416@viajes.cl,49160,"El Ejido","San Sebastían de los Reyes",x,2518,102000,Socibus,Cama,"{Agua,""Asientos reclinables"",Calefacción}"
537061,Sra.gutiOorrez@viajes.cl,56194,Bilbao,"San Sebastián",44,643,150000,"Via Bariloche",Cama,"{""Asientos reclinables"",TV,Calefacción}"
537066,alicia9800@viajes.cl,42163,"San Sebastián","Cerdañola del Vallés",39,3915,80000,Alsa,Cama,"{Agua,Calefacción,Baño}"
537072,sra.3768@viajes.cl,94217,"Cerdañola del Vallés",Avilés,45,3973,119000,Chevallier,Cama,"{Baño,Calefacción,""Aire acondicionado""}"
537083,sara8283@viajes.cl,85445,Alcobendas,Torremolinos,42,2726,128000,"Via Bariloche",Cama,"{Agua,Calefacción,""Asientos reclinables""}"
537084,geesga@viajes.cl,71811,Torremolinos,Valencia,48,2979,112000,JetSur,Cama,"{Comida,Wifi,TV}"
537085,sra.4397@viajes.cl,24663,Valencia,"Collado Villalba",37,3515,171000,Monbus,Cama,"{Comida,""Asientos reclinables"",Calefacción}"
537093,Anamireles@viajes.cl,43296,Majadahonda,Algeciras,30,620,53000,Damas,Cama,"{TV,Agua,Baño}"
537098,srjeamga@viajes.cl,73474,Algeciras,Parla,37,1022,61000,"Pullman Bus",Cama,"{""Aire acondicionado"",""Asientos reclinables"",Agua}"
537103,Saraozuna@viajes.ceele,80521,"Santa Cruz de Tenerife","Cornellá de Llobregat",40,901,134000,"Flecha Bus",Cama,"{Calefacción,Wifi,TV}"
537109,maeuprse@viajes.cl,85100,"Cornellá de Llobregat",Cuenta,38,2003,183000,Socibus,Cama,"{Calefacción,""Aire acondicionado"",Agua}"
537130,roberto7144@viajes.cl,39300,"Hospitalet de LLobregat",Barcelona,38,2703,190000,"Buses Nilahue",Cama,"{""Aire acondicionado"",Wifi,""Asientos reclinables""}"
537131,Sr.alonzo@viajes.cl,15111,Mijas,Ferrol,38,3027,170000,"EME Bus",Cama,"{""Asientos reclinables"",Comida,Calefacción}"
537145,Ramonaalva@viajes.cl,62494,Torrelavega,"Las Palmas de Gran Canaria",43,2059,135000,"ETN Turistar",Cama,"{Wifi,""Aire acondicionado"",Agua}"
537147,sra.7316@viajes.cl,89137,"Las Palmas de Gran Canaria",Inca,38,3950,149000,"Buses Romani",Cama,"{Agua,""Asientos reclinables"",""Aire acondicionado""}"
537154,Antonianegrete@viajes.ceele,55275,Inca,León,41,1632,185000,FlixBus,Cama,"{Comida,Agua,""Aire acondicionado""}"
537158,gotrja@viajes.cl,78024,Gerona,Ferrol,33,2436,76000,BoltBus,Cama,"{Baño,Agua,Calefacción}"
537221,anfrte@viajes.cl,97506,Madrid,Manresa,49,2591,100000,FlixBus,Cama,"{Wifi,Calefacción,Agua}"
537229,OIscar7270@viajes.cl,23930,Manresa,Torremolinos,49,2333,51000,ADO,Cama,"{Agua,TV,""Aire acondicionado""}"
537242,RamOInsepOUlveda@viajes.cl,81704,"Palma de Mallorca",Lérida,42,3802,163000,Damas,Cama,"{Agua,""Asientos reclinables"",Comida}"
537248,guabsa@viajes.cl,65272,Lérida,LéRIDA!!!,35,1471,74000,"Primera Plus",Cama,"{TV,Wifi,""Asientos reclinables""}"
537251,sta.9484@viajes.cl,5590,Lérida,"Cerdañola del Vallés",33,3659,147000,Futura,Cama,"{Baño,""Aire acondicionado"",Wifi}"
537273,Sra.rocha@viajes.cl,38818,Irún,"Palma de Mallorca",47,3870,111000,BoltBus,Cama,"{TV,Baño,Wifi}"
537283,luis2060@viajes.cl,75784,Puertollano,"San Sebastián",48,3945,131000,Alsa,Cama,"{Agua,TV,Wifi}"
537291,AndrOoszaragoza@viajes.cl,25691,Calahorra,"San Fernando",33,3288,50000,FlixBus,Cama,"{Comida,Wifi,Calefacción}"
537293,Maricarmencenteno@viajes.ceele,19614,"San Fernando",Sagunto,31,867,87000,JetSur,Cama,"{Comida,TV,""Asientos reclinables""}"
537294,Anamireles@viajes.cl,88443,Sagunto,"Santa Cruz de Tenerife",31,1055,166000,"Flecha Bus",Cama,"{Baño,Agua,""Aire acondicionado""}"
537327,srglqujOe@viajes.cl,99226,Mérida,Rivas-Vaciamadrid,48,1886,177000,JetSur,Cama,"{TV,Baño,""Asientos reclinables""}"
537328,Raquellira@viajes.cl,69158,Rivas-Vaciamadrid,Benidorm,50,3260,152000,Socibus,Cama,"{TV,Agua,Calefacción}"
537329,SanchotOollez@viajes.cl,55307,Motril,"Santiago de Compostela",41,4315,176000,Damas,Cama,"{""Aire acondicionado"",Baño,""Asientos reclinables""}"
537348,saolma@viajes.cl,9982,torrevieja#,Linares,32,2797,74000,"ETN Turistar",Cama,"{Agua,TV,Calefacción}"
537349,Luissisneros@viajes.cl,35635,Linares,Guadalajara,50,2092,115000,Megabus,Cama,"{""Aire acondicionado"",Calefacción,Wifi}"
537364,samave@viajes.ceele,54039,"el ejido#",Huelva,31,3085,197000,"Flecha Bus",Cama,"{""Asientos reclinables"",Agua,Calefacción}"
537371,carmen2339@viajes.cl,24110,Majadahonda,GECHO!!!,38,726,55000,"Pullman Bus",Cama,"{Comida,Wifi,Baño}"
537372,maguva@viajes.cl,89363,Gecho,PUERTOLLANO!!!,33,3040,79000,"Primera Plus",Cama,"{Agua,""Asientos reclinables"",Comida}"
537374,yorahu@viajes.cl,36189,Tarragona,Málaga,40,1984,57000,Monbus,Cama,"{Calefacción,""Aire acondicionado"",TV}"
537378,stjomanari@viajes.cl,85638,Málaga,Vigo,46,1591,54000,"EME Bus",Cama,"{Comida,Baño,Wifi}"
537412,sra.3913@viajes.cl,5784,Tarragona,"San Sebastían de los Reyes",38,962,84000,Turbus,Cama,"{Wifi,""Asientos reclinables"",Calefacción}"
537413,rebeca740@viajes.cl,23485,"Santa Cruz de Tenerife",Madrid,43,517,87000,Plusmar,Semi-cama,"{Comida,TV,""Aire acondicionado""}"
537414,srroceja@viajes.cl,8379,Madrid,Sagunto,38,2219,171000,"Buses Ahumada",Cama,"{Calefacción,Comida,""Asientos reclinables""}"
537417,alberto3237@viajes.cl,9385,Cáceres,Málaga,30,3120,94000,"Estrella Roja",Cama,"{Wifi,Calefacción,TV}"
537427,sremrimo@viajes.cl,87276,Cuenta,"Las Palmas de Gran Canaria",31,3003,123000,"Pullman Bus",Cama,"{""Aire acondicionado"",Comida,Agua}"
537428,micaela8113@viajes.cl,15221,"Las Palmas de Gran Canaria",Rivas-Vaciamadrid,30,1726,90000,"Primera Plus",Cama,"{Wifi,""Asientos reclinables"",Agua}"
537436,Carloscortez@viajes.ceele,55485,Telde,Badalona,50,2377,88000,Plusmar,Cama,"{""Asientos reclinables"",""Aire acondicionado"",Calefacción}"
537440,LorenzoconcepciOIn@viajes.cl,65035,Badalona,Elda,47,4280,115000,"Estrella Roja",Cama,"{Comida,Agua,Baño}"
537443,teodoro2239@viajes.cl,48348,Vitoria,Oviedo,31,1838,132000,"Buses Romani",Cama,"{""Asientos reclinables"",Agua,Comida}"
537454,Sta.lugo@viajes.cl,14949,Cáceres,"Molina de Segura",43,1872,63000,"Pullman Bus",Cama,"{""Asientos reclinables"",Wifi,Baño}"
537456,srjeamga@viajes.cl,24777,"Molina de Segura",Ferrol,41,1387,151000,"Pullman Bus",Cama,"{Wifi,Agua,""Asientos reclinables""}"
537457,juOevle@viajes.cl,85879,Torrelavega,Albacete,48,3998,188000,Plusmar,Cama,"{Calefacción,""Asientos reclinables"",Comida}"
537458,sr.7950@viajes.cl,36784,albacete#,ALCOY!!!,40,2634,194000,"Via Bariloche",Cama,"{Wifi,Comida,Baño}"
537476,sra.8658@viajes.cl,83947,Córdoba,x,49,797,x,Monbus,Cama,"{""Aire acondicionado"",Wifi,""Asientos reclinables""}"
537497,ClementecalderOIn@viajes.cl,4780,Madrid,"Sanlúcar de Barrameda",37,2272,194000,"Primera Plus",Cama,"{Wifi,""Aire acondicionado"",TV}"
537520,sr.8587@viajes.cl,37039,"San Fernando",Alcobendas,48,2359,105000,"Pullman Bus",Cama,"{Agua,Comida,Baño}"
537521,pilar4208@viajes.cl,38251,Alcobendas,Badalona,33,3167,70000,"Pullman Bus",Cama,"{Baño,TV,Wifi}"
537588,sra.1194@viajes.ceele,76787,Coslada,CARTAGENA!!!,47,2410,55000,"Flecha Bus",Cama,"{Wifi,""Asientos reclinables"",Baño}"
537592,giralo@viajes.cl,88778,x,x,33,2800,77000,Turbus,Cama,"{Wifi,Calefacción,""Aire acondicionado""}"
537602,Anaarreola@viajes.cl,16798,Guadalajara,"Collado Villalba",48,4190,169000,"Buses Nilahue",Cama,"{""Asientos reclinables"",Comida,Agua}"
537603,Estelatafoya@viajes.cl,63079,"collado villalba#",Arrecife,36,2021,162000,"Buses Romani",Cama,"{Baño,Agua,Comida}"
537627,damote@viajes.ceele,91181,marbella#,Alicante,44,1725,139000,"Flecha Bus",Cama,"{""Aire acondicionado"",Comida,TV}"
537630,JosOoalmanza@viajes.cl,11691,Alicante,Córdoba,31,3577,184000,"Buses Nilahue",Cama,"{Agua,Wifi,Comida}"
537650,cOosar7548@viajes.cl,8056,orihuela#,Lorca,49,3622,187000,Chevallier,Cama,"{Agua,Wifi,Calefacción}"
537657,gurotr@viajes.cl,72001,Lorca,Zaragoza,46,179,17000,"Buses Bio Bio",Normal,"{""Asientos reclinables"",Baño,TV}"
537662,esteban919@viajes.cl,22616,Leganés,"La Línea de la Concepción",41,1563,131000,FlixBus,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Baño}"
537663,admata@viajes.cl,44717,"La Línea de la Concepción","Torrejón de Ardoz",50,1644,168000,"Omnibus de México",Cama,"{TV,Wifi,Agua}"
537668,jocoes@viajes.cl,59029,Arrecife,Mataró,43,2568,123000,ADO,Cama,"{""Aire acondicionado"",Agua,TV}"
537678,Oenvabe@viajes.cl,37192,"Alcalá de Guadaira",Paterna,31,1754,177000,"EME Bus",Cama,"{Wifi,TV,Comida}"
537686,Sta.cruz@viajes.ceele,89840,Granada,"San Sebastían de los Reyes",40,1569,167000,Futura,Cama,"{Baño,TV,Agua}"
537693,Sta.nevOerez@viajes.cl,29498,Gerona,GUADALAJARA!!!,38,142,37000,"ETN Turistar",Normal,"{Comida,TV,Wifi}"
537700,mateo8064@viajes.cl,27244,Guadalajara,Manresa,37,626,162000,FlixBus,Cama,"{Comida,Calefacción,""Asientos reclinables""}"
537703,maelprcr@viajes.cl,87699,manresa#,Rivas-Vaciamadrid,40,3593,127000,"Crucero del Norte",Cama,"{Agua,Baño,""Asientos reclinables""}"
537713,Gloriafonseca@viajes.cl,33043,"Santa Lucía de Tirajana","Sanlúcar de Barrameda",42,1643,75000,"Pullman Bus",Cama,"{Comida,""Asientos reclinables"",TV}"
537714,berta2138@viajes.cl,52670,"Sanlúcar de Barrameda",Granada,50,3384,185000,Plusmar,Cama,"{Wifi,Baño,Comida}"
537715,alguor@viajes.cl,10530,"Chiclana de la Frontera",Valladolid,36,1462,66000,Greyhound,Cama,"{Comida,TV,Baño}"
537716,Sra.chacOIn@viajes.cl,96423,Valladolid,Jaén,37,3656,130000,"Buses Bio Bio",Cama,"{""Asientos reclinables"",Calefacción,Comida}"
537741,agarhe@viajes.cl,75047,Torremolinos,"Dos Hermanas",37,603,165000,ADO,Cama,"{Wifi,""Asientos reclinables"",TV}"
537742,timoteo1196@viajes.cl,19000,"Dos Hermanas",Getafe,35,231,16000,"Pullman Bus",Normal,"{""Asientos reclinables"",""Aire acondicionado"",Agua}"
537759,joluloor@viajes.ceele,20421,gijón#,Telde,33,1730,141000,Futura,Cama,"{""Asientos reclinables"",Baño,Comida}"
537762,vigala@viajes.cl,45464,"Sanlúcar de Barrameda",ELDA!!!,31,453,41000,Damas,Cama,"{Comida,""Asientos reclinables"",Wifi}"
537765,stmacamo@viajes.cl,57116,Valladolid,Cáceres,47,1832,85000,"Buses Nilahue",Cama,"{Agua,Comida,Calefacción}"
537823,TimoteojimOAnez@viajes.cl,90328,Cáceres,"Castellón de la Plana",34,4205,81000,Damas,Cama,"{Calefacción,Agua,Wifi}"
537824,bernardo9219@viajes.cl,47054,"Castellón de la Plana",Bilbao,40,2042,129000,Monbus,Cama,"{""Asientos reclinables"",""Aire acondicionado"",Baño}"
537869,leorbr@viajes.cl,57512,Valencia,Salamanca,44,308,43000,Avanza,Normal,"{Comida,TV,Baño}"
537872,Timoteoespinosa@viajes.cl,54130,Salamanca,"San Fernando",39,4256,160000,JetSur,Cama,"{Agua,Comida,Wifi}"
537881,diego5279@viajes.cl,53239,Arrecife,Marbella,44,1778,67000,Futura,Cama,"{Agua,Wifi,""Asientos reclinables""}"
537882,Diegoborrego@viajes.ceele,38355,Sagunto,Segovia,35,4069,64000,BoltBus,Cama,"{""Aire acondicionado"",Calefacción,TV}"
537883,blanca9473@viajes.cl,36085,Segovia,Madrid,45,3923,145000,Greyhound,Cama,"{""Asientos reclinables"",Baño,Calefacción}"
537889,Robertovanegas@viajes.cl,70501,Almería,Vitoria,30,3090,171000,"Buses Ahumada",Cama,"{Baño,""Aire acondicionado"",TV}"
537890,jucOocesa@viajes.cl,26889,Tarrasa,Sabadell,46,132,27000,"Buses Ahumada",Normal,"{Calefacción,Comida,TV}"
537896,Sofiamateo@viajes.cl,7816,Sabadell,Alicante,46,2683,79000,"Buses Bio Bio",Cama,"{Calefacción,Baño,""Asientos reclinables""}"
537904,cacoza@viajes.cl,33154,Alicante,Fuengirola,46,714,90000,Greyhound,Cama,"{""Asientos reclinables"",TV,Agua}"
537968,alicia9800@viajes.cl,36227,Bilbao,Palencia,31,2297,159000,Avanza,Cama,"{Calefacción,Agua,Comida}"
537982,Sra.crespo@viajes.ceele,23559,algeciras#,Almería,39,3636,185000,Monbus,Cama,"{Calefacción,Wifi,Baño}"
537983,mariano4285@viajes.cl,78246,Getafe,BURGOS!!!,38,3059,100000,"Pullman Bus",Cama,"{""Asientos reclinables"",Wifi,Agua}"
538030,josefina2243@viajes.cl,3771,"Molina de Segura",Alicante,50,3384,168000,"Buses Bio Bio",Cama,"{Agua,Baño,Comida}"
538052,JosOomiranda@viajes.cl,86598,"Dos Hermanas",CáCERES!!!,30,3219,190000,"Condor Bus",Cama,"{Baño,Calefacción,Wifi}"
538053,sta.9995@viajes.cl,66986,Cáceres,"El Puerto de Santa María",43,1219,72000,"Buses Ahumada",Cama,"{Agua,TV,""Asientos reclinables""}"
538055,Sr.puente@viajes.cl,11019,Lugo,Puertollano,38,1107,189000,JetSur,Cama,"{TV,Wifi,Calefacción}"
538090,pablo5252@viajes.cl,75333,Cáceres,Reus,35,783,105000,Greyhound,Cama,"{""Aire acondicionado"",Comida,Calefacción}"
538095,timoteo6041@viajes.cl,83110,Reus,"La Línea de la Concepción",44,1646,110000,Alsa,Cama,"{Calefacción,Baño,TV}"
538103,EsperanzagonzOelez@viajes.cl,17544,"dos hermanas#",Gecho,38,4113,117000,"El Rápido Internacional",Cama,"{""Aire acondicionado"",Baño,TV}"
538131,davamu@viajes.cl,57183,Logroño,BENIDORM!!!,38,615,130000,"Estrella Roja",Cama,"{Agua,TV,Wifi}"
538146,Cristinacasares@viajes.cl,28031,"Dos Hermanas",Manresa,33,1571,168000,"Buses Romani",Cama,"{Baño,""Asientos reclinables"",Calefacción}"
538147,ripuva@viajes.cl,84945,Manresa,Pamplona,40,4304,124000,Monbus,Cama,"{""Aire acondicionado"",Agua,""Asientos reclinables""}"
538158,Raquelromero@viajes.cl,55894,Vigo,"Collado Villalba",32,401,96000,ADO,Semi-cama,"{Baño,Wifi,TV}"
538169,AlfonsojimOAnez@viajes.cl,65738,Inca,Cádiz,50,2797,156000,"El Rápido Internacional",Cama,"{Calefacción,Agua,Comida}"
