nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Roberto Delvalle Merino,roberto6254109@viajes.cl,,roberto652719,+56 9 2830 7539,-28550826,,Nocturno,,Full time,6
Sra. Joaquín Rocha Aguirre,sra.4187466@outluc.com,,sra.6621384,+56 2 5101 8962,2016612,0,,,,6
,starlovi445@viajesanma.com,QMLOzccrm7hU1C2,starlovi826,+56 2 1161 2098,10263947,6846,,,,2
Hugo Figueroa Dávila,,4LhChSdTO5LjaHLX,Hugodávila664,,25261641,16003,,,,1
Ricardo Olmos Otero,,pJjwf4wkeYHDto8b,Ricardootero102,,20454407,9800,,,,7
Sta. Margarita Chávez Quiñónez,,xXL2bzjPsAziLfft,Sta.quiñónez514,+56 2 1690 7131,6194219,0,,,,K
Claudia Cuellar Briseño,clcubr185@tourket.com,,clcubr871,+56 9 3779 6622,17386340,0,,,,3
Conchita Ávalos Muñiz,,ZOXg3UhguN17jj5W,coávmu849,+56 9 5905 4230,6949938,,Diurno,Colmena,Full time,4
Juan Carlos Rangel Herrera,,47w4MMlWe0Y,jucarahe651,+56 9 5445 8998,10308907,,Diurno,Colmena,Part time,7
Sara Coronado Pelayo,sacope302@edubus.cal,D3086REYignWrT,,+56 2 0787 1570,28699422,-706,,,,9
Sra. Raúl Quintanilla Aranda,srraquar307@viajesanma.com,iPKmehP87BPo,srraquar508,+56 9 5114 3887,-26603194,0,,,,7
Sr. Ramiro Cortez Zamora,sr.4154206@viajes.cl,5ZcZgfr0Rz,sr.1164210,,28707987,,Diurno,Banmédica,Part time,7
,,N3NMwwntJTp55m,maría377164,+56 2 6394 6518,20340678,0,,,,9
Ana Duarte Jáquez,ana8383232@tourket.com,5NG0gOQq,Anajáquez186,+56 9 0010 2610,-15097621,22804,,,,9
Juan Carlos Cortés Alaniz,,M8PopqxB,Juanalaniz456,+56 2 6775 6779,6365109,3773,,,,5
Luz Montañez Casillas,lumoca977@wass.com,N2va140UzQZH,luz5150894,,23979277,1269,,,,4
,,ld30kRYw,Teresaflórez761,+56 2 1088 1794,10990638,6378,,,,7
Ángela Berríos Alba,Ángelaalba718@viajesanma.com,aFQ1XeKP,ánbeal178,,9409857,3164,,,,2
Marilu Rivas Avilés,,Ce4Avna2mk9HNZw,mariav146,+56 2 8261 5154,-19126049,,Diurno,Fonasa,Full time,K
Florencia Rivera Menéndez,Florenciamenéndez180@marmol.com,S5G3nlqA,florencia687672,+56 2 9833 5968,-26541556,4994,,,,3
Esteban Oquendo Guevara,esteban1628932@outluc.com,7pYexkUi,Estebanguevara964,,15908392,848,,,,6
Raquel Cazares Robledo,raquel6455489@edubus.cal,sF2kDV4x2I,,+56 9 4861 1181,27445347,4224,,,,8
Sta. Victoria Camacho Rodrígez,stvicaro967@viajes.cl,mO3PDFD7V7Jip,sta.8669640,+56 9 5177 0454,,,Diurno,Fonasa,Full time,
Leonor Urrutia Calvillo,leonor2290253@marmol.com,64G6Trbk0oN,leurca572,+56 9 0326 8782,-25689751,8712,,,,2
Leticia Muñiz Villanueva,,,Leticiavillanueva572,+56 2 0853 2580,16155457,20573,,,,K
Sra. Susana Ruiz Ponce,sra.1334886@marmol.com,,srsurupo186,+56 9 0109 3141,,12226,,,,
Graciela Corral Montañez,graciela726552@outluc.com,m7fWrqT2Jtq9,grcomo301,,8039914,0,,,,6
Reina Rivas Rosario,reina1002348@wass.com,,reriro210,+56 2 4724 5262,17363300,7333,,,,9
Patricia Palomino Adame,Patriciaadame600@viajes.cl,N5DkZkzbGC,papaad535,+56 2 6976 7083,-13672787,,Nocturno,Fonasa,Part time,7
,Lucasfernández994@wass.com,TQl8ZvjrpFjmXln2,Lucasfernández957,+56 9 7279 3752,-7839402,0,,,,1
Óscar Hernández Zambrano,ósheza630@viajes.cl,,ósheza687,+56 9 7656 0208,9072998,,Diurno,Colmena,Part time,5
Leonor Molina Granado,,r0LmGcYIMxn5,,+56 9 4697 5495,3824246,2187,,,,6
Sara Muñiz León,,LxWTy49xbV74GhI,sara5449654,+56 2 3762 6277,7713558,0,,,,8
,ariadna8670327@outluc.com,T4XPUJWFYw3UY,ariadna9687685,+56 9 5728 8087,23918243,0,,,,7
María Luisa Rosario Leyva,maría836291@marmol.com,,malurole167,+56 2 0334 5087,14585169,0,,,,6
,caveto330@wass.com,9PnMMot5VJXFlTYm,carolina4884585,+56 2 8500 1178,29825092,0,,,,6
José María Valencia Villegas,Josévillegas181@viajesanma.com,1JXl5i6X8avSaG,Josévillegas171,,9243107,27925,,,,K
Salvador Samaniego Campos,,jIyzirA32HQTDl,Salvadorcampos949,+56 2 7346 9326,8241240,5966,,,,9
Ricardo Garrido Aguilera,,Q6AJ8q0FzRGwaMQp,ricardo2474929,+56 9 9391 5210,4479646,,Diurno,Fonasa,Part time,5
Emilia Arguello Montaño,emilia1000632@tourket.com,5Z09rRDiqtgSRP,,+56 2 0525 6881,18223061,1992,,,,8
,Ernestobarraza502@viajes.cl,INGtwz9MZX,ermeba875,+56 2 6059 5508,14042825,,Nocturno,Banmédica,Full time,6
Leonor Vanegas Duran,levadu330@marmol.com,,Leonorduran442,+56 9 8536 8650,11600909,2061,,,,9
Eva Lemus Carranza,Evacarranza419@viajes.cl,TRmJ4303abymm,,+56 2 7613 2942,15119234,,Nocturno,Consalud,Full time,3
Sta. Dolores Deleón Colón,sta.8353426@wass.com,PzHU5U289xwVCSlh,sta.6683383,,,2705,,,,
Guadalupe Chávez Garica,,WvDnBtNAxS9,guadalupe3643604,+56 2 1575 0017,23522043,13783,,,,1
Daniela Frías Ramos,Danielaramos196@viajesanma.com,,dafrra470,+56 9 9171 1991,6394319,5008,,,,3
Teresa Alemán Zúñiga,,K2RnK0g0nwgBbiZ,teresa6284141,+56 2 0852 9601,22463486,469,,,,2
Ana Luisa Barraza Henríquez,anlubahe592@viajes.cl,YtVMd1ikA0,anlubahe699,,1913440,,Diurno,Banmédica,Part time,7
Sr. Raúl Carrion Gurule,Sr.gurule806@wass.com,,srracagu524,+56 2 5151 2018,20880807,4816,,,,9
Conchita Corrales Santiago,,cE68j5Ar1YrJ3W,Conchitasantiago523,+56 2 7156 8033,8169717,,Diurno,Consalud,Part time,5
Sra. Salvador Duarte Romo,,3yyEiE2f9RWq,srsaduro114,+56 9 2128 4319,20722616,,Diurno,Colmena,,5
Graciela Cuellar Gollum,graciela1787859@tourket.com,PvV2CnLJjXF34fP,grcugo121,+56 2 8234 0344,-15785754,24039,,,,1
Magdalena Galván Tamayo,magata187@marmol.com,,magata106,+56 9 3227 7945,19583369,0,,,,9
Rocio Salas Flores,rocio8701276@tourket.com,,rosafl192,+56 2 1649 1339,18040173,2478,,,,3
Lucas Domínguez Frías,Lucasfrías890@edubus.cal,FxE1t32jYUb,lucas3116305,+56 2 9917 6453,,5094,,,,
Rosa Guajardo Torres,roguto488@viajes.cl,XJgwdm3D13m3nWH,roguto911,+56 2 4189 1688,,,Diurno,Consalud,Full time,
Micaela Mota Quiroz,Micaelaquiroz905@outluc.com,,,+56 2 2348 0368,-9859268,7245,,,,7
Hernán Ojeda Mondragón,heojmo408@viajesanma.com,VwLH4MoJuipu8Zy,,+56 9 9949 2252,14296624,4805,,,,7
Gloria Esquibel Roldán,Gloriaroldán400@edubus.cal,WdPOKHK2,Gloriaroldán816,+56 2 3277 6812,,6800,,,,
Sta. Carolina Dávila Montero,Sta.montero723@edubus.cal,XlYT5muXG,stcadámo241,,22132438,564,,,,2
Diana Montoya Aguilera,Dianaaguilera969@viajes.cl,6m4rs02B,dimoag871,+56 9 7620 4034,,,Nocturno,,Full time,
,maricarmen5245481@wass.com,3Silf94ZXZCXzwdJ,Maricarmenpalacios976,+56 9 2062 2649,21922213,11060,,,,0
Marisol Serrato Carbajal,Marisolcarbajal216@outluc.com,,Marisolcarbajal311,+56 2 4826 3814,27957661,2064,,,,6
,Victoriaoquendo513@tourket.com,YD3SlESuqa4f,victoria6448255,+56 2 9270 5051,24743941,10108,,,,2
Daniela Girón Terrazas,Danielaterrazas901@edubus.cal,NMwo3Gbl43pJPe,daniela2442149,,637919,0,,,,2
Rosa Reynoso Márquez,rosa4990751@viajes.cl,3V5YFiizPggzLu,Rosamárquez335,+56 2 1037 1504,,,Nocturno,Banmédica,Full time,
Micaela Pacheco Navarro,Micaelanavarro721@viajes.cl,CXb8r2Jw,,+56 2 8066 2893,21820785,,Diurno,Banmédica,Full time,5
Francisca Henríquez Cervantes,Franciscacervantes436@tourket.com,IbUv7R7Ay1g5uAno,Franciscacervantes348,+56 9 9012 1479,,5260,,,,
,maría9006848@edubus.cal,gpyWc6w0oLdM10fH,Maríaquesada301,+56 2 5640 1734,1610962,15772,,,,2
,alcato224@marmol.com,2rIlFEyXM2vsqvt,,+56 2 0224 0679,1913969,4976,,,,7
,luz7344853@viajes.cl,ixIY0PTXqyPP3j,luhupu467,+56 9 0223 3403,29155756,,Diurno,Consalud,Full time,2
Armando Carvajal Espinal,arcaes311@outluc.com,EyCHH4WTca,armando985499,,15161018,0,,,,8
Ana Luisa Fajardo Ochoa,,,ana8664771,+56 9 4417 0950,26527231,18609,,,,2
Sta. Emilio Muñiz Navarro,,781pq3Y891,,+56 9 5842 8362,22636534,4428,,,,6
Daniela Maldonado Candelaria,Danielacandelaria184@viajes.cl,dqoGoZgSJo2,Danielacandelaria865,,13183093,,Nocturno,Banmédica,Part time,9
Elena Barela Montez,elbamo860@viajes.cl,HwSkxvtskg9,,+56 2 7092 9744,29914427,,Nocturno,Banmédica,Full time,5
,Sra.huerta265@viajesanma.com,z1YBqW84L,Sra.huerta985,+56 9 4756 4626,21967721,0,,,,9
Octavio Saldaña Soria,,QGn3XANbIrv,Octaviosoria202,+56 9 2879 4219,21147606,16235,,,,0
,pabear838@viajes.cl,qnrGQab1M6s36eR,patricio2188655,+56 9 1315 4607,,,Nocturno,Consalud,Full time,
Alberto Rentería Zamora,Albertozamora667@wass.com,IBpisquSzVPm5n,alreza142,,28623851,5575,,,,3
,viríca811@viajes.cl,VhsXS4ugM,virginia9808224,+56 2 9482 2490,4615482,,Diurno,Fonasa,Full time,7
Jacobo Murillo Armas,,4qD2CpdD1zzY,jacobo4400203,+56 9 6412 0497,744382,17062,,,,K
,Saraalarcón969@viajes.cl,TQ0LKJxCJmecln9,salual640,+56 2 3311 2390,23265933,,Diurno,Más vida,Part time,5
Hernán Ávalos Santana,,,Hernánsantana931,+56 2 1091 0836,3699303,11148,,,,0
,alesot998@viajesanma.com,o9S4xY7N49upu4,alesot218,+56 2 0242 8399,13133362,8355,,,,5
Germán Villanueva Solís,germán7298769@outluc.com,qcRlGNZ6ycIM,Germánsolís665,,27768191,6093,,,,9
Sta. Francisca Martínez Almonte,sta.6769137@viajes.cl,eryH7Rax5bQ,sta.9222158,+56 2 9890 8629,-4634667,,,Colmena,Part time,K
,Esperanzabanda491@tourket.com,Ngaf0C5w66X,esperanza1201579,+56 2 2744 6467,3344187,31407,,,,8
Josefina Gracia Lira,josefina4470996@viajesanma.com,6qU184t3AWHE5,,+56 2 6845 3478,19243345,3110,,,,2
Jaime Montero Peña,Jaimepeña295@wass.com,ajjnA42KR,,+56 2 8613 4754,1903294,23786,,,,9
Pablo Llamas Palomo,pablo2181456@outluc.com,mfeUvZoIUoH6a45,Pablopalomo812,+56 2 9463 9556,-1810002,0,,,,9
Luisa Miramontes Valles,luisa872547@wass.com,wmaRSgy0BoXtdKt,Luisavalles285,+56 2 5389 5899,,,,,,
Sra. Antonia Rivera Santillán,sra.988333@tourket.com,Xs4BHj0c,,+56 2 8347 5388,26930118,,,,,K
Pablo Rivera Ulloa,,LjcqYfPCFI57,Pabloulloa817,+56 2 9804 8888,18036909,4081,,,,0
Guillermina Ochoa Rosas,guocro846@viajesanma.com,,guillermina6391941,+56 2 8808 8518,14009791,11192,,,,8
Ignacio Zayas Miranda,ignacio7777975@wass.com,,Ignaciomiranda241,+56 9 9846 6956,29554121,0,,,,0
Sta. Ester Solís Abeyta,sta.6665708@viajes.cl,iyT0rYkqms,sta.7198855,,15880782,,Diurno,Banmédica,Part time,3
Amalia Ontiveros Rojas,Amaliarojas557@wass.com,Pnodc96DF,amalia1236543,+56 2 5124 7135,-18255332,2310,,,,8
Ester Guillen Vanegas,ester2119354@wass.com,J0A1rnALUJP,ester6905914,+56 2 7601 1564,,14791,,,,
Sta. Alejandro Gurule Tejada,Sta.tejada565@outluc.com,3IHuBu4Fr,sta.5630750,+56 2 3846 1135,-25507852,13212,,,,6
Maricarmen Duarte Rosado,Maricarmenrosado518@viajes.cl,,,+56 9 7117 1181,15426985,,,Consalud,Full time,1
Sra. Graciela Solorio Ramírez,sra.8577415@wass.com,225vXeL3vKBLnR,Sra.ramírez837,+56 9 7993 2986,,,,,,
Hernán Lira Marín,helima194@viajesanma.com,p8ro2cYKzZ8Kxv,,+56 9 0627 8587,12233979,-21534,,,,3
Antonio Rivas Riojas,antonio1796431@viajes.cl,ZIdbO3rfTU8bKMd,anriri400,,21887834,,Diurno,Colmena,,2
Antonio Rolón Regalado,,i5KAsbVbHx30G,anrore623,+56 9 6381 5686,,7812,,,,
César Castañeda Concepción,césar2295448@viajes.cl,69jNpLson2MQ,,+56 9 2709 5248,18156027,,,Banmédica,Part time,4
Soledad Ocampo Rojo,Soledadrojo470@edubus.cal,u3sbd1LW7ELDyA,Soledadrojo301,+56 9 7515 0772,-3632600,328,,,,K
Carlos Alarcón Ferrer,,bsSwFFO9cFBsEoX,Carlosferrer394,+56 2 7850 6632,23821370,10388,,,,3
Sta. Lorenzo Santiago Valles,stlosava427@viajes.cl,gfU8F0DrZAV6u2SV,,+56 9 5561 4674,429551,,Nocturno,Banmédica,,K
Lola Zúñiga Rico,lozúri351@outluc.com,GTZ9p1j4R6X3,,+56 2 5771 5974,6545398,10329,,,,3
Sra. Carlota Villareal Pagan,srcavipa609@marmol.com,,srcavipa443,+56 2 1040 6596,2066898,9097,,,,9
Sra. Adán Araña Colunga,sradarco814@marmol.com,XcV8G2Dt25,sradarco327,+56 9 2355 3576,,4380,,,,
Débora Estrada Campos,débora7235789@edubus.cal,,Déboracampos557,+56 9 2189 5648,12780637,13377,,,,3
Raquel Alonso Jaramillo,Raqueljaramillo885@viajes.cl,V1vf7YyGnJuoLVZI,,+56 9 2706 8978,7471078,,,Más vida,Part time,6
María José Maya Rosario,Maríarosario889@viajesanma.com,8WTZBkxb7sJnKGfg,,+56 9 9005 6535,9460570,,,,,9
Cristian Armendáriz Palomino,,eh95DlVFDFi,crarpa941,+56 9 6254 4281,1087863,9812,,,,2
Mercedes Menéndez Salgado,memesa681@tourket.com,UQbW6wFdeatY,Mercedessalgado367,,29868324,5846,,,,5
Jacobo Olmos Narváez,jacobo164702@wass.com,ED0Wgzah9rVL6,jaolna402,,20530996,0,,,,9
Josefina Salinas Olivares,Josefinaolivares376@outluc.com,KJrcK2DQNsb,josefina9635636,+56 9 7470 4423,,11566,,,,
Marcos Pérez Enríquez,marcos3611741@outluc.com,,,+56 2 0729 8024,20923350,5681,,,,9
Mario Zepeda Zambrano,mazeza307@viajesanma.com,7uM0c9FM7C,mario2370850,,12599324,6116,,,,9
Sr. Julio César de Jesús Loya,,K7M6AfvxL,srjucédejelo472,+56 9 3149 4727,24306276,0,,,,4
David Tapia Cadena,,R7Lw3uZ4DErKPnF,,+56 9 2266 6173,7965501,0,,,,5
Inés Arriaga Alva,inaral526@viajesanma.com,F77WTUDDxbCg5N,inés4698944,,5677551,0,,,,K
Isabel Barrios Quesada,,3udA3xSUvqnZl,isabel3627113,+56 2 7691 5780,22210249,,Nocturno,Colmena,Part time,9
Cecilia Almaraz Lomeli,Cecilialomeli696@tourket.com,,ceallo528,+56 2 9733 3854,27986858,12480,,,,7
,Sta.alcaraz990@wass.com,1LwnpEZQ,sta.1322360,+56 9 2099 4175,14962725,0,,,,1
Manuel Lerma Carrion,,lm9ri3gnKdEnI,manuel7878178,+56 2 5090 5887,5273202,1629,,,,6
Alfredo Angulo Pabón,,OZcrtd2Pb7nQ15,,+56 2 7188 7032,21651457,11308,,,,2
Rocio Berríos Lozano,robelo841@viajes.cl,,,+56 2 5449 9506,23664186,,Nocturno,Consalud,Part time,4
Gerardo Velasco Almaraz,gerardo956789@edubus.cal,2iL3zGXOPxt,gerardo8692514,+56 2 1328 2281,,2721,,,,
Teresa Enríquez Reyna,teenre998@edubus.cal,C8h8ns0zXQNmz,,+56 2 2068 3233,25651099,5010,,,,5
Reina Robles Cepeda,,V5FJxEu5,Reinacepeda463,+56 2 4402 3709,24102900,0,,,,K
Sr. Barbara Ochoa Bustamante,Sr.bustamante598@outluc.com,,sr.6086277,+56 2 4082 3139,28151776,2960,,,,7
Julio Rangel Urrutia,Juliourrutia198@edubus.cal,2TArhWz0ha7IMtY,,+56 9 3419 4955,-27709102,0,,,,K
,japaca917@viajes.cl,ueco49iINF76,jacobo4017227,,7754927,,Nocturno,Colmena,Part time,7
,Soniamonroy754@viajes.cl,,Soniamonroy360,,2810968,,Nocturno,Banmédica,Full time,7
Marco Antonio Olvera Arroyo,marco9528241@viajes.cl,,marco3023533,+56 9 5843 0802,29241399,,Nocturno,Banmédica,Part time,8
Julia Perea Arteaga,Juliaarteaga578@edubus.cal,xkYsNW0ND,julia3235764,+56 9 5100 4671,,16762,,,,
,Jesúshurtado122@edubus.cal,t0RrA4Z3QLuLzY5,Jesúshurtado934,+56 9 5356 0688,26389198,2880,,,,8
Marisol Soto Gaitán,Marisolgaitán574@wass.com,eltIuCRnknss8R,Marisolgaitán462,+56 9 6350 7908,-7996310,0,,,,0
Juan Carlos Rendón Arroyo,juan5231635@marmol.com,GprW1yHn,jucarear810,+56 2 5348 8629,-17340811,19186,,,,0
Sra. Daniel Zaragoza Lozano,Sra.lozano349@viajes.cl,3sIITye9zf6p,Sra.lozano681,,6941052,,Nocturno,Banmédica,Full time,9
Sta. Marisol Tirado Nieves,stmatini267@marmol.com,vCmEk1YA,stmatini140,+56 9 1179 7917,-21782147,13937,,,,9
,Nataliapreciado290@edubus.cal,cLoXSDQj36WDq,natalia4092867,+56 2 4813 3693,28089242,6517,,,,4
Norma Otero Soria,Normasoria358@edubus.cal,,Normasoria974,+56 9 7336 3319,28586207,502,,,,8
,,lpOodI2BU,Cristinalaboy363,+56 9 8082 3315,26649451,1644,,,,3
Clemente Armenta Mojica,,20HRzMgxk1ea,clemente4213490,,16810929,0,,,,6
Rocio Gaytán Guajardo,rocio5625820@viajes.cl,z98KO97Efg3Imb,rogagu852,+56 9 4288 4858,,,Diurno,Banmédica,Part time,
,josefina344971@viajesanma.com,,Josefinaestrada706,+56 2 3751 8378,6073216,18345,,,,7
Carla Alonzo Mesa,carla4325758@viajes.cl,,Carlamesa820,+56 2 2150 9250,18190545,,Diurno,Banmédica,Part time,K
Sr. Inés Pantoja Cavazos,,fDYEAW9SE3hn,srinpaca363,+56 9 4198 9768,9275677,,Diurno,,Full time,7
,Marcomarrero295@edubus.cal,Ji5cnbuh4TTW,maancama316,+56 2 7632 3231,29565700,5086,,,,6
Rocio Hernández Mateo,Rociomateo446@tourket.com,,rohema870,+56 9 4981 5669,23287556,,,,,9
Sta. Cristian Solano Vallejo,stcrsova938@viajes.cl,,Sta.vallejo583,+56 2 1367 4265,6362465,,Diurno,,Part time,9
Julio César Becerra Valle,jucébeva663@viajes.cl,GISHWBP1yU1vQ,julio2091242,,15426010,,Diurno,Colmena,Full time,2
Norma Tafoya Zamudio,norma1741100@tourket.com,CM4aUEF9,Normazamudio663,+56 9 5461 7952,,0,,,,
Gerardo Rocha Núñez,Gerardonúñez896@viajes.cl,zOi2iYn5qqV1,,+56 9 5881 2503,4780684,,Diurno,Más vida,Full time,4
Andrés Balderas Ibarra,anbaib481@edubus.cal,,anbaib342,+56 9 9058 0794,28505997,11818,,,,6
Antonia Gonzales Naranjo,,Re6C80JdF5Pv,antonia6828176,+56 2 4047 4188,,-1888,,,,
,Juliomoreno764@outluc.com,pN9jyoIQ,jusemo500,,28957366,0,,,,6
María Soledad Alonzo Cedillo,Maríacedillo654@viajes.cl,cguCrn5CsOpdlVj,Maríacedillo954,+56 9 3628 0169,-4447008,,Nocturno,Fonasa,,K
Carla Alba Almanza,Carlaalmanza141@outluc.com,btU38XRSZW,caalal132,,28606881,3791,,,,2
Emilio Mondragón Peña,emilio6169968@wass.com,,emmope195,+56 9 6509 3424,7017653,35411,,,,K
Elena Holguín Zayas,elena9314173@outluc.com,,elena6074127,+56 9 1733 3448,28780065,1206,,,,7
,gumuba425@marmol.com,,Gustavobahena436,+56 9 2969 2577,5787712,-3913,,,,K
Claudio Gonzales Guajardo,claudio8255363@edubus.cal,o4g6n5ydutH,,+56 9 6420 1204,29067880,8869,,,,3
David Villa Jáquez,,Isu2NltEY0,david6454150,+56 2 2610 1601,5611097,969,,,,6
Lorena Jurado Marrero,Lorenamarrero270@viajesanma.com,a0ceIY3UBkusDE,,+56 2 9974 0231,24094427,15382,,,,8
Mónica Preciado Rael,mónica8949391@wass.com,3hXK037L06QhCK8a,móprra417,+56 9 3777 7666,,2328,,,,
Sra. Laura Maya Reynoso,srlamare942@wass.com,q5zQNOCVbxawVtGi,sra.2511196,,8739422,0,,,,0
,gonzalo7217360@edubus.cal,Ua2AHzWd,gonzalo2408563,+56 2 2488 8644,-16844462,6013,,,,1
,Mercedesalmonte943@marmol.com,35mnmZ6VW,metoal329,+56 9 9498 5994,-19550427,30606,,,,K
,anpevé395@viajes.cl,UiFq4MgpM6,andrea4537520,+56 9 8975 3001,27264250,,Diurno,Más vida,Full time,8
María Eugenia Leiva Lucero,Maríalucero990@tourket.com,8Q95ItWAgbE,maeulelu268,,27295565,27927,,,,4
,escabe683@outluc.com,6yZBgLX7BdbsFIye,Esterbenítez182,+56 9 1007 2910,11471232,0,,,,9
María Teresa Rincón Tello,Maríatello434@outluc.com,,maría2391522,+56 2 1606 9587,29427184,4788,,,,8
,nicolás1945291@viajesanma.com,07ANFcM1FPU,Nicoláscastillo242,+56 2 4604 4329,26208672,5000,,,,0
,miánelbu961@marmol.com,,Miguelbustos405,+56 2 5931 4292,18396189,0,,,,6
Sta. Juana Ocampo Parra,Sta.parra771@marmol.com,,Sta.parra155,,20508918,,,,,7
Óscar Contreras Ballesteros,óscar6641495@viajesanma.com,,Óscarballesteros726,+56 2 2909 3941,,0,,,,
Sra. Pedro Marín Salgado,Sra.salgado379@outluc.com,dOcdNv3nW,srpemasa953,+56 2 8473 2001,-7690370,0,,,,0
Salvador Cintrón Saldivar,sacisa212@edubus.cal,,Salvadorsaldivar589,+56 2 5948 6249,8226545,16325,,,,7
Jesús Domínquez Llamas,jedoll636@edubus.cal,rHXuOT9tGKKAMCL,jedoll561,+56 9 7223 2950,,3597,,,,
Manuel Delgado Peralta,manuel2099816@viajes.cl,,madepe447,+56 9 1968 3572,14037126,,Nocturno,Fonasa,Part time,2
Sr. Mateo Nieves Arredondo,,5GPFg4OVPlrmz,Sr.arredondo790,+56 2 6193 9321,7761839,8914,,,,2
Manuel Delao Barrera,madeba309@edubus.cal,pAridXK79,madeba151,+56 9 1276 2830,,,,,,
Ángela Centeno Yáñez,Ángelayáñez640@marmol.com,,Ángelayáñez698,+56 2 8557 7728,24214859,12988,,,,2
Susana Garica Hinojosa,,5YQRqZPwErfR8Ml,sugahi413,+56 9 3153 2742,25952501,4693,,,,2
Felipe Valenzuela Ulibarri,Felipeulibarri341@viajesanma.com,LAy8eKHYoh1H,Felipeulibarri754,+56 9 0182 4383,,6077,,,,
Daniela Canales Vega,,R0P44vCbxXHbH4M,dacave717,+56 9 4976 1325,22629240,8125,,,,3
Patricia Quintanilla Delgado,,NyX6JaD20HcmF87i,paqude425,+56 9 6518 7699,19876279,,Nocturno,Banmédica,Part time,2
Daniel Pantoja Ríos,,,daniel4005501,+56 2 1672 5498,6843900,9573,,,,0
Sr. Graciela Loera Banda,,B7TmrVlgNg,,+56 2 8219 6871,-13212604,2504,,,,6
Armando Prieto Navarro,armando8288965@tourket.com,WC1uFugkUlSQqpi0,Armandonavarro842,,,27038,,,,
,agustín2169362@wass.com,B9nkdZSKz,,+56 9 8593 8726,22865122,1126,,,,2
Sr. Antonia Jasso Mejía,sr.3346244@edubus.cal,VKnYt9UL7cE7CHkW,Sr.mejía712,,13220200,14731,,,,1
Joaquín Niño Flórez,Joaquínflórez697@outluc.com,xp461TGkNB2,Joaquínflórez725,+56 2 2792 6841,-12844792,0,,,,K
Antonio Rodrígez Castellanos,,,anroca904,+56 9 3815 5488,11697936,,Diurno,,Full time,5
,Saraalvarado572@marmol.com,ijDkQWBwCN0V9Y5r,Saraalvarado103,+56 2 0297 4093,24401007,1958,,,,5
Sra. Antonia Ulloa Padilla,sra.3077196@tourket.com,85SEepVqjr8,,+56 9 9838 4593,13293696,0,,,,K
,diabga267@marmol.com,67oWxJ1HDxdtM,Dianagarrido722,+56 2 7620 5791,11127877,6374,,,,6
Guillermo Mora Botello,,6ATuo6WgsK,guillermo3541917,+56 9 8425 9339,414279,,Nocturno,Fonasa,Full time,9
Homero Báez Bermúdez,Homerobermúdez680@tourket.com,WRrg4VwHE,Homerobermúdez245,,21230037,0,,,,3
Isabela Arroyo Regalado,isarre176@wass.com,,isarre632,+56 9 7915 5004,9844764,3672,,,,4
,sofrcr758@viajesanma.com,,sonia4112120,+56 9 6916 4208,26828497,11661,,,,4
Sra. Virginia Rivera Deleón,sra.5088447@outluc.com,A0rMsdrtEjSt51L,srviride221,,5627399,4778,,,,9
