nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas
"Arturo Duarte Bonilla",15.808.833,9,ardubo@tourket.ceele,ardubo,goEFyFwpE7Iy,"+56 2 2866 7678",8330,66706,"Cena de Trabajo",536450,2025-02-26,1548000,9
"Sr. José María Palomino Flórez",24.006.668,8,sr.1020@tourket.com,Sr.flórez,dDjWkY0bALQ,"+56 9 8117 4749",6454,64386,Aniversario,536477,2025-06-03,472000,4
x,5015225,1,Rosariosauceda@@tourket.com,x,3UfOERbFwkIUtQ,"+56 9 6697 4218",x,x,Vacaciones,536521,2025-01-08,1629000,x
"Rosario Noriega Sauceda",5.015.225,1,Rosariosauceda@tourket.com,ronosa,3UfOERbFwkIUtQ,"+56 9 6697 4218",5968,63400,Vacaciones,536525,2026-03-19,594000,9
"Andrés Heredia Farías",1.216.311,8,andrOos2663@edubus.ceele,anhefa,CSzKy7etW0S,"+56 9 0785 1443",4301,69010,"Salida con Familia",536541,2026-02-05,440000,5
"Sara Quiñones Huerta",6114691,1,sara8578@@tourket.com,sara1722,u61QZJrt,"+56 9 1265 7493",2916,66946,"Salida con Amigos",536568,2025/09/07,1020000,10
"Rubén Beltrán Cintrón",2.773.700,5,rubeci@marmol.ceele,rubeci,zDZTZtbHPkk6Iq2K,"+56 2 0534 2773",9359,70888,"Cena de Trabajo",536570,2025-09-04,121000,1
"Adriana Covarrubias Briseño",27.423.142,4,adcobr@marmol.com,adcobr,sR4Jl0EiAuLtsD,"+56 9 9590 8942",2050,65750,"Salida con Amigos",536582,2025-04-05,-60000,1
"Amalia Griego Olivárez",5860282,x,AmaliaolivOerez@viajesanma.com,amalia1580,dxvYf4IlHkya2,x,x,67675,Aniversario,536591,x,783000,x
"Horacio Mena Pelayo",20319615,6,homepe@@viajesanma.com,Horaciopelayo,h2Mn9Fyqhz,"+56 2 6089 2994",8655,68938,"Salida con Familia",536596,2025-02-14,140000,4
"Adriana Bétancourt Urbina",26.485.768,6,Adrianaurbina@edubus.cal,adriana1285,V5IR6n2WXpgdAGno,"+56 2 5919 5647",7183,63754,"Salida con Amigos",536597,2026-03-09,585000,5
"Adriana Bétancourt Urbina",26.485.768,6,Adrianaurbina@edubus.cal,adriana1285,V5IR6n2WXpgdAGno,+56-2-5919-5647,7183,63754,"Salida con Amigos",536598,2026-11-05,500000,5
"Santiago Barrera Burgos",4.510.825,2,Santiagoburgos@outluc.com,sababu,VIuwfgFlE7bck4ZK,"+56 9 3001 9227",102,71428,"Salida con Familia",536629,2025-07-21,240000,3
"Sra. Virginia Ontiveros Velasco",x,2,sra.141@wass.ceele,x,x,"+56 9 9520 2956",3710,x,Vacaciones,536640,x,-1104000,6
"Miguel Ángel Alonzo Rivas",14.521.234,0,miguel7795@edubus.cal,miguel8152,dRb2GDN5,"+56 9 7893 1848",6712,66526,"Salida con Amigos",536653,2025-05-07,-840000,6
x,22255490,0,sta.207@viajesanma.ceele,x,x,"+56 2 8393 3626",5686,x,"Salida con Familia",536657,x,546000,3
"Sta. Maricarmen Ruelas Oquendo",22.255.490,0,sta.207@@viajesanma.com,Sta.oquendo,4bSEoOaRlc3U2,"+56 2 8393 3626",5686,65853,"Salida con Familia",536673,2025-01-20,528000,3
"José Eduardo Moreno Jasso",19.349.064,6,josOo5274@tourket.ceele,josé427,odVC9kWw,"+56 9 0698 0454",2573,65433,"Salida con Amigos",536687,2025-07-07,-1140000,10
"Alfonso Ruelas Marrero",726132,x,alruma@outluc.com,alfonso8643,C5nNYEeur,"+56 9 9590 1529",3455,65925,x,x,2025-01-19,x,x
"Gloria Vázquez Aponte",18.165.128,8,gloria1062@outluc.com,glváap,mMe4aaNRhc6,"+56 9 0928 6064",271,64502,"Salida con Amigos",536713,2025/08/07,1200000,8
"Isabel Olivera Delarosa",1298756,0,isolde@@outluc.com,isabel1202,sEMIcmsZ4yUcQ5,"+56 9 0048 2005",9837,69324,"Salida con Familia",536729,2025-07-16,369000,3
"Sara Muñiz Cepeda",29253492,2,Saracepeda@@tourket.com,sara3986,N1zDJYj4GwwN,"+56 9 1696 1535",1928,61835,Aniversario,536759,2025/01/02,680000,8
"Clemente Ledesma Arroyo",20010113,8,cllear@@tourket.com,Clementearroyo,bv94adhTTH,"+56 2 9630 2628",8183,63802,"Salida con Amigos",536783,2025/09/15,99000,1
"Óscar Valle Zamora",9593992,9,O�scarzamora@viajesanma.com,ósvaza,iMj4xDgQ,"+56 2 8288 4287",5028,70938,"Salida con Amigos",536817,2025-05-01,366000,6
"Carmen Guardado Uribe",21927241,3,carmen9329@@outluc.com,carmen5903,6aHsD8yovdRiPP,"+56 2 0948 5174",6282,70429,Vacaciones,536826,2025-06-06,2331000,9
x,x,x,carmen9329@outluc.com,carmen5903,6aHsD8yovdRiPP,"+56 2 0948 5174",6282,70429,Vacaciones,x,2025-08-16,x,9
"María Teresa Caballero Tello",8.555.666,5,marOAa337@viajesanma.com,Maríatello,x47R9ljE,"+56 9 0338 5670",1201,61522,"Salida con Familia",536846,2025-12-04,300000,4
x,x,8,x,marta1649,w7Il7JnlO,+56-9-3411-5455,735,66712,Aniversario,x,x,532000,2
x,x,4,julio9256@marmol.com,x,RPfjDPOik0,+56-2-5781-3053,x,64867,"Salida con Familia",x,2025-02-13,1370000,10
x,x,7,adpaba@tourket.ceele,x,WjEsSC5eTE6cZr3f,"+56 2 3238 0637",x,63131,Aniversario,536859,2025-03-31,700000,x
"Adán Paredes Balderas",28.127.526,7,adpaba@tourket.com,adpaba,WjEsSC5eTE6cZr3f,+56-2-3238-0637,6872,63131,Aniversario,536867,2025-10-01,567000,7
x,16.185.754,x,sra.6894@tourket.com,x,x,"+56 2 4989 6204",3904,62357,"Cena de Trabajo",536891,x,195000,1
"Mariano Tejada Guardado",15.045.648,7,mategu@tourket.ceele,mariano6951,h06cRjISx8Lf,"+56 2 4516 5533",2239,62314,"Salida con Amigos",536897,2025-09-24,-112000,8
"Mariano Tejada Guardado",15.045.648,7,mategu@tourket.ceele,mariano6951,h06cRjISx8Lf,"+56 2 4516 5533",2239,62314,"Salida con Amigos",536913,2025-05-04,320000,8
x,3773089,0,Sta.vallejo@tourket.com,x,z5yk0z9z1hAO,"+56 2 5778 1583",1328,x,Vacaciones,x,2025-03-30,x,9
"Maricarmen Zarate Huerta",21.124.208,6,mazahu@edubus.cal,maricarmen3282,kR3mS3M25a,"+56 2 9836 8397",1496,64889,"Salida con Amigos",536939,2026-08-02,-332000,2
"Arturo Guajardo Calderón",22690539,1,arturo6055@@edubus.cal,arguca,D7TWrVLprJ2sDYo,"+56 9 9687 5914",7683,71869,"Salida con Amigos",536954,2026-03-13,136000,1
"Sr. Rubén Salgado Briseño",11294840,6,Sr.briseO�o@marmol.com,sr.1596,AvFuhcQ3i6IdwX,"+56 2 7428 7723",1497,71300,"Cena de Trabajo",536958,2025-02-23,234000,1
"Sr. Rubén Salgado Briseño",11294840,6,Sr.briseO�o@marmol.com,sr.1596,AvFuhcQ3i6IdwX,"+56 2 7428 7723",1497,71300,"Cena de Trabajo",536959,2025-04-29,56000,1
"Raquel Ávalos Quiñones",519626,4,raOevqu@@wass.com,Raquelquiñones,GiPx9fWm,"+56 9 5573 9886",778,69485,Aniversario,536975,2025-09-09,1554000,7
"Guillermina Briseño Rivera",28676759,1,x,gubrri,x,+56-9-8696-1042,1745,65032,x,x,x,1496000,8
"César Centeno Iglesias",27.072.823,5,cOoceig@viajesanma.com,Césariglesias,6isrYLrKF5kQ,"+56 9 1725 0360",166,71831,"Salida con Amigos",537004,2025-10-31,856000,8
"Nicolás Torres Ybarra",26.381.791,5,nitoyb@tourket.com,Nicolásybarra,jTzz1b6nMjY,"+56 9 9713 3558",4922,64570,"Salida con Amigos",537016,2025/01/09,269000,1
"Sra. Margarita Duran Heredia",16720064,8,sra.8173@@tourket.com,srmaduhe,Bgy1yNeJnCUoY,"+56 2 7492 7002",2270,66257,Aniversario,537026,2025-03-28,440000,8
"Norma Almanza Villaseñor",15782404,0,NormavillaseO�or@wass.com,norma3006,RG1hSXD7yyf3G,"+56 9 9544 0986",8332,70315,Aniversario,537027,2026-10-05,3474000,9
x,24728263,7,guadalupe8182@wass.com,Guadalupemontalvo,x,x,6774,68163,x,537034,2025/12/10,-651000,x
"Mariano Ramón Zúñiga",572042,7,MarianozOUO�iga@outluc.com,marazú,BiOIwFQw3wPGwUbC,"+56 2 9828 8204",6098,65338,Aniversario,537059,2025-07-12,396000,6
"Manuela Solano Lara",22593423,x,masola@@outluc.com,masola,x,x,4030,69836,Vacaciones,537061,x,-1200000,x
"Sta. Esteban Quintana Sisneros",7.374.852,6,stesqusi@edubus.cal,sta.9785,Vwx1dGb5k,+56-2-5519-0667,6368,69553,Vacaciones,537085,2025-02-18,-855000,5
"Javier Almaraz Granado",11.667.546,3,jaalgr@@edubus.cal,Javiergranado,9vyQyMh6bJx,"+56 2 5661 7834",3010,65195,Vacaciones,537086,2025-01-31,51000,1
"Clemente Solís Barragán",6.467.234,7,clsoba@@marmol.com,clsoba,9tsIeJC5I,"+56 2 8684 1629",8283,67003,Aniversario,537129,2025-10-08,1935000,9
"Estela Contreras Mares",2.999.426,9,estela6352@tourket.com,estela8288,3NxKDluRV3,+56-2-7262-7821,6136,62545,Vacaciones,537134,2025/10/01,-1143000,9
"Sta. Gabriela Gómez Verduzco",12.175.942,0,stgagOIve@@marmol.com,sta.8399,xH7cEcCM,"+56 9 7377 0506",901,68106,"Cena de Trabajo",537163,2025-02-06,1281000,7
"Blanca Gallegos Montaño",931793,7,BlancamontaO�o@wass.com,blgamo,BOuitj1yal3e26T,"+56 2 4797 2226",3858,65420,Vacaciones,537185,2025-03-01,3978000,9
x,15718729,5,x,enolfr,blUQYFfaJ3w8Uf5,x,3489,x,"Cena de Trabajo",537187,x,865000,5
"Cecilia Garay Prado",12.592.052,7,cegapr@outluc.ceele,Ceciliaprado,1va3Jn0B,"+56 9 7329 2773",9545,61645,"Salida con Amigos",537201,2025-01-08,106000,2
"María José Quintana Valladares",7.663.864,0,MarOAavalladares@viajesanma.com,maría2788,9Mvpwoc8C,+56-9-7244-3541,5419,63593,Aniversario,537211,2025-05-10,-1088000,8
"Gregorio Navarrete Lomeli",18.280.298,0,grnalo@@edubus.cal,Gregoriolomeli,YJZzx84C,"+56 9 3662 8276",3952,72036,"Cena de Trabajo",537218,2025-05-15,639000,3
"Julia Espino Alcaraz",11.419.501,4,juesal@@outluc.com,Juliaalcaraz,IqzMJLz9A3,"+56 9 5170 8011",7269,70190,Vacaciones,537229,2025-10-04,510000,10
"Alejandro Farías Lozano",24.729.179,2,alejandro5855@wass.com,Alejandrolozano,0H1yZ1Vj,"+56 9 7672 5809",6195,61431,"Salida con Familia",537241,2025-05-23,512000,4
"Rosalia Saiz Granado",23583229,x,rosagr@marmol.ceele,Rosaliagranado,x,x,x,71412,"Salida con Familia",537258,x,549000,9
x,23583229,1,x,Rosaliagranado,x,"+56 9 9641 7393",2866,71412,"Salida con Familia",x,2025-06-15,126000,x
"Alfonso Villanueva Franco",15664443,9,Alfonsofranco@@wass.com,alfonso9000,NjrfJM0hfF2JHvcz,"+56 9 7783 8226",5239,62800,"Salida con Familia",537318,2025-11-15,396000,2
"Alfonso Arroyo Torres",20773326,x,Alfonsotorres@marmol.com,Alfonsotorres,jCq4QJ0AqtVZ,x,4407,x,Vacaciones,x,2025-01-03,58000,x
"Alfonso Arroyo Torres",20773326,1,Alfonsotorres@@marmol.com,Alfonsotorres,jCq4QJ0AqtVZ,"+56 2 5808 6338",4407,71326,Vacaciones,537326,2025-03-21,297000,1
"Sr. Ricardo Balderas Cano",13.747.117,5,Sr.cano@wass.com,Sr.cano,NNH621zmneRv,"+56 2 4572 8266",4690,68082,"Salida con Amigos",537348,2026/04/28,-592000,8
"César Véliz Segura",14187404,7,cOovOose@@viajesanma.com,Césarsegura,bt40vzK5bn2p,"+56 2 2634 7040",299,66120,"Salida con Amigos",537373,2025-01-04,1570000,10
"César Véliz Segura",14.187.404,7,cOovOose@viajesanma.com,Césarsegura,bt40vzK5bn2p,"+56 2 2634 7040",299,66120,"Salida con Amigos",537378,2025-01-13,540000,10
"Armando Puga Lugo",26.670.498,4,armando8513@viajesanma.com,Armandolugo,3LFNewPsJ,"+56 2 2341 8400",5103,63480,"Salida con Familia",537389,2025-03-13,96000,1
"Carlota Carbajal Sánchez",2.510.328,9,CarlotasOenchez@outluc.com,carlota7746,mtPJHa7Cy,+56-9-2352-2408,4371,69937,Vacaciones,537413,2025-12-27,870000,10
"Sra. Elsa Varela Saiz",5.229.215,8,Sra.saiz@marmol.com,Sra.saiz,vbY5K28GYeUJE8E,+56-9-8996-3712,3385,67126,"Cena de Trabajo",537415,2025/01/14,228000,3
"Raquel Pantoja Ibarra",4.213.186,5,Raquelibarra@wass.com,Raquelibarra,f4LCSDUsg3GgUUU,"+56 2 2089 0129",5311,71690,Aniversario,537441,2025-02-01,145000,1
"Raquel Pantoja Ibarra",4.213.186,5,Raquelibarra@wass.com,Raquelibarra,f4LCSDUsg3GgUUU,"+56 2 2089 0129",5311,71690,Aniversario,537442,2025-04-28,-230000,1
"Virginia Barela Anaya",11393245,7,virginia7821@@marmol.com,Virginiaanaya,Zyl5s358mahqrynH,"+56 2 1031 3564",6095,64200,"Cena de Trabajo",537444,2025/11/07,94000,1
"Virginia Barela Anaya",11.393.245,7,virginia7821@marmol.com,Virginiaanaya,Zyl5s358mahqrynH,"+56 2 1031 3564",6095,64200,"Cena de Trabajo",537445,2025-09-03,-447000,1
"Rosario Sáenz Bueno",28.490.788,4,Rosariobueno@edubus.ceele,rosario9687,KtD4i3UDSDps1,"+56 9 5947 0198",9206,63171,Aniversario,537447,2025-09-25,572000,2
"Mayte Segura Marín",6.910.093,7,masema@viajesanma.ceele,masema,qv6X43xbLr0MP,"+56 2 4981 8142",9135,62411,"Salida con Amigos",537452,2025-02-08,-72000,4
"Mayte Armas Alicea",21.999.242,4,mayte2072@marmol.com,mayte543,5lk4yyrmXwDkp,+56-2-6698-4225,4297,67483,"Cena de Trabajo",537475,2025-07-29,216000,1
"Vicente Villaseñor Ceja",4.291.583,1,vicente9725@edubus.cal,vivice,mCE8PzIGQXMzmW7l,"+56 9 5105 0897",1891,68386,"Cena de Trabajo",537491,2025/03/18,142000,2
"Jerónimo Ledesma Romero",x,9,jelero@viajesanma.com,x,t1ZZKuUEO5huvk,"+56 2 3581 3300",847,64458,Vacaciones,x,x,-380000,x
"Jerónimo Ledesma Romero",23.004.234,9,jelero@viajesanma.com,jelero,t1ZZKuUEO5huvk,"+56 2 3581 3300",847,64458,Vacaciones,537497,2025-04-27,-970000,5
"Jerónimo Ledesma Romero",23004234,9,jelero@@viajesanma.com,jelero,t1ZZKuUEO5huvk,"+56 2 3581 3300",847,64458,Vacaciones,537501,2025-05-13,725000,5
"Alfonso Magaña Mesa",27.869.505,0,almame@wass.com,Alfonsomesa,GKjzK7R2tl,"+56 2 3904 9800",8645,70530,"Salida con Amigos",537522,2025-09-04,-378000,7
"Andrea Mondragón Ybarra",9.180.431,0,Andreaybarra@wass.com,anmoyb,4UEy4aI4G8CW,"+56 9 1613 6055",3293,67740,"Cena de Trabajo",537533,2025/02/02,-297000,3
"Julia Camarillo Escalante",18.639.242,6,Juliaescalante@tourket.com,Juliaescalante,A09FFmLk,"+56 9 4876 7780",2431,69038,Vacaciones,537551,2025-10-08,891000,9
"Julia Camarillo Escalante",18.639.242,6,Juliaescalante@tourket.com,Juliaescalante,A09FFmLk,+56-9-4876-7780,2431,69038,Vacaciones,537562,2025-06-12,-2061000,9
x,28480255,1,x,pablo332,JPdGv06bdQOAT,"+56 2 7413 6036",617,64519,x,x,2025-09-08,x,9
"Rodrigo Parra Adame",3.763.600,2,ropaad@marmol.com,Rodrigoadame,oCzMT1HV,"+56 9 9413 4683",4509,62294,"Salida con Familia",537587,2025-01-23,752000,8
"Gloria Deleón Castañeda",5287740,7,GloriacastaO�eda@wass.com,gldeca,Ye6vwJTaKF,"+56 2 9557 0667",5706,63079,"Cena de Trabajo",537595,2025-10-31,164000,2
"Gloria Deleón Castañeda",5287740,7,GloriacastaO�eda@wass.com,gldeca,Ye6vwJTaKF,"+56 2 9557 0667",5706,63079,"Cena de Trabajo",537596,2025-07-06,708000,2
x,9.856.294,x,sara7287@wass.com,sagaul,KgTizDOI6Baok5H2,x,939,x,Vacaciones,537601,2025-06-20,x,2
"Josefina Alcala Mojica",20.202.088,7,Josefinamojica@tourket.com,joalmo,oeKe4g6M,+56-2-7771-1003,6749,66079,Vacaciones,537604,2025-01-05,846000,6
"Josefina Alcala Mojica",20.202.088,7,Josefinamojica@tourket.ceele,joalmo,oeKe4g6M,+56-2-7771-1003,6749,66079,Vacaciones,537609,2025-06-13,-1098000,6
"Sra. Gabriel Pulido Polanco",24.929.323,7,sra.9093@marmol.ceele,srgapupo,ZovMmKKnTM5E4dB,"+56 2 8998 3571",6875,72094,"Salida con Amigos",537646,2025-06-03,592000,2
"Agustín Velásquez Corral",1991762,2,agveco@@outluc.com,agveco,tBPIg5XeZG,+56-2-2973-6158,820,69284,Vacaciones,537650,2025-05-20,1309000,7
"Elvira Fonseca Valladares",21.790.035,2,Elviravalladares@edubus.cal,Elviravalladares,fVms4kzotOoh,+56-2-3058-4255,1733,64480,Aniversario,537663,2025-06-11,1008000,6
"Lola Espinosa Solís",5378220,5,loesso@wass.ceele,Lolasolís,MDVW7kfTZxKt0,x,x,66490,Vacaciones,x,x,-518000,x
"María Delvalle Briones",27.423.936,0,marOAa8813@edubus.cal,Maríabriones,lcs0fEfYCRyi,"+56 2 6175 8723",3139,66405,"Salida con Familia",537703,2026-05-18,1016000,8
"Ana Luisa Collazo Urías",25950399,x,ana4463@wass.com,anlucour,v5uvjOSV6Ya,"+56 2 8071 2099",x,x,x,537725,x,-99000,1
"Salvador Armijo Godínez",28.004.008,8,saargo@viajesanma.com,Salvadorgodínez,zKSV9CAXXblPF,+56-2-8086-4367,1848,71903,"Salida con Amigos",537736,2025-04-23,136000,2
x,14332449,4,Alfredobonilla@wass.com,alolbo,BJiWYyt95,"+56 9 6393 4078",x,x,x,537741,2025-01-22,x,1
"Sta. Esperanza González Caldera",7.523.912,2,sta.8006@wass.com,Sta.caldera,9ElnNU6z7ZzV,+56-9-6604-7754,4582,61332,Vacaciones,537781,2025-06-22,-2000000,10
"Ana María Ponce Benavides",4975710,x,Anabenavides@edubus.cal,anmapobe,x,+56-9-4365-2071,7703,64261,Vacaciones,537802,x,x,x
"Eloisa Arriaga Guajardo",29.549.611,8,Eloisaguajardo@@tourket.com,elargu,fYm2HRY1Yg6rwBtu,"+56 2 4608 0138",1449,64265,"Salida con Familia",537809,2025-06-25,360000,5
"Cristian Carranza Cotto",5557505,3,crcaco@@viajesanma.com,cristian1946,5Jo9az0uxi6,"+56 2 1170 4507",5009,62454,"Salida con Familia",537831,2025-08-26,693000,9
"Gabriel Garay Camacho",23758930,0,x,Gabrielcamacho,x,x,8549,68224,x,537832,x,402000,6
"Salvador Sevilla Burgos",2775821,5,Salvadorburgos@@wass.com,sasebu,dXg2cpnJJXB1,"+56 2 0601 5656",3541,70437,"Cena de Trabajo",537840,2025-09-29,2094000,6
"David Partida Holguín",x,2,x,david6957,x,x,4616,x,"Salida con Amigos",537843,2025-01-01,1680000,10
"David Partida Holguín",x,2,dapaho@tourket.com,david6957,QOydeVdQ1xQFM,"+56 9 9143 4612",x,x,"Salida con Amigos",x,2025-01-05,760000,x
"Sra. Mario Naranjo Rincón",27094798,0,srmanari@@edubus.cal,sra.9176,QF4MLavTqdv5,"+56 9 3913 2135",474,69938,Aniversario,537877,2025/02/15,1211000,7
"Mariano Segura Guzmán",22.678.086,6,mariano7686@wass.com,Marianoguzmán,rmeHmH8S4sk6X,+56-2-2134-3169,9430,63129,"Salida con Familia",537915,2026-04-12,580000,10
"Sr. Vicente Treviño Castellanos",21557450,4,sr.1694@@marmol.com,srvitrca,GenoyI5rW,"+56 9 3689 8503",8041,70094,Aniversario,537936,2026-03-12,315000,3
"Marcos Orta Hernandes",11.988.854,9,maorhe@wass.com,maorhe,N37imfnX0vW,+56-2-3551-9811,3033,61788,Vacaciones,537939,2025/08/15,1584000,6
x,21191475,0,x,x,9KOXTvN8OV0tV,"+56 2 9496 1128",x,67298,"Cena de Trabajo",537948,2025-04-22,134000,x
"Carla Villanueva Irizarry",23027896,2,x,carla5470,0geZlXWEZ,"+56 9 2778 8708",x,x,x,537964,x,696000,6
"Josefina Arreola Solano",29852349,3,Josefinasolano@@marmol.com,joarso,FNVN9xo1wlrAd7sD,"+56 2 2478 1716",8702,68853,Vacaciones,537973,2025-03-18,635000,5
"Graciela Vélez Rico",1924277,3,grvOori@@marmol.com,grvéri,bIZFeOrWj0Y9hNLd,+56-2-8193-8956,506,68834,"Salida con Familia",537982,2025/12/26,555000,3
"Sr. Graciela Delgado Olvera",26.469.080,3,sr.1623@tourket.com,sr.109,76jYHRKNTrUqq,"+56 2 1473 6274",6209,62335,"Salida con Amigos",537983,2025-01-04,800000,8
x,x,5,Josefinavela@viajesanma.com,josefina3982,6uvigNNp2NV94m5L,"+56 2 4362 9567",7774,x,x,538014,2025-06-26,1360000,x
"Sta. Patricia Lerma Franco",12.528.849,9,sta.2249@@wass.com,stpalefr,FjG27PIvDnDfF,"+56 9 1068 2097",282,68149,"Cena de Trabajo",538022,2025-04-13,270000,5
x,20740443,x,Cristobalarce@edubus.cal,crsoar,4zCXbeaOcT,x,9729,x,x,538038,2026-05-24,644000,7
"Ramona Lucio Tirado",4509198,8,raluti@@marmol.com,raluti,rq3PACs8ROR9Uaf,"+56 2 1687 1432",3098,70045,Aniversario,538056,2025/03/23,136000,1
x,4509198,8,raluti@marmol.ceele,raluti,rq3PACs8ROR9Uaf,"+56 2 1687 1432",x,x,Aniversario,538063,2025/02/07,x,x
"Clara Ybarra Tirado",29.549.003,9,clybti@marmol.com,clara8377,ps4R9KlNRI,"+56 2 3051 5727",9281,68510,"Salida con Amigos",538074,2025-01-10,-3171000,7
"Isabel Alonzo Zambrano",10.228.588,3,isabel140@wass.com,isalza,Zi5CZkssokRt1,"+56 9 1663 6670",7544,67250,"Salida con Familia",538084,2026-03-20,1984000,8
"Lucas Vázquez Alvarado",17.124.741,1,luvOeal@marmol.ceele,Lucasalvarado,8JOb1LsUo6spraCU,"+56 9 4846 8127",5608,64849,Aniversario,538131,2025/01/05,1040000,8
"Sra. Patricia Patiño Candelaria",25736418,x,x,Sra.candelaria,pXyjF4BSIH3BsycG,"+56 2 9590 9475",x,71225,x,538142,2026-01-12,2124000,x
"Claudio Reynoso Ramón",25.587.477,2,clrera@outluc.com,clrera,x,"+56 2 3992 8920",3421,x,x,x,2025-05-13,1832000,x
"Cristian Iglesias Negrete",17.169.120,6,cristian9601@marmol.ceele,Cristiannegrete,7XabCpSCu5,"+56 9 9153 3603",4382,65425,Aniversario,538158,2025-01-22,576000,6
"José Villareal Gracia",9.785.203,0,josOo5446@marmol.ceele,Joségracia,Zy3JJBe5,"+56 2 4326 8897",4534,71516,"Salida con Amigos",538166,2025-05-29,224000,2
"Diego Osorio Leyva",18.282.182,9,diego1564@viajesanma.com,Diegoleyva,H7hsNymcBXw63u,"+56 2 2497 7036",5057,61568,Aniversario,538175,2025/08/16,234000,2
"Estela Calvillo Melgar",x,0,x,estela855,lKgTW8J1gpthOJ,"+56 9 7854 7429",x,71964,"Cena de Trabajo",538183,x,x,3
"Isabel Arreola Rosario",21.781.514,2,isabel9622@outluc.ceele,isabel3750,X4Z7VVE0uF17tTjD,"+56 9 7253 7394",8440,67835,"Salida con Familia",538200,2025/12/30,568000,8
"Roberto Rosales Mojica",22.937.123,1,Robertomojica@@viajesanma.com,Robertomojica,xvfyYg7FlptpYSj7,"+56 9 5161 2890",6231,70800,"Cena de Trabajo",538222,2026-02-07,528000,4
"Leticia Zaragoza Villalobos",x,6,lezavi@marmol.ceele,x,x,"+56 9 5662 9339",3260,65014,Aniversario,x,x,-540000,4
"José María Márquez Yáñez",11.386.918,6,josOo8741@wass.com,Joséyáñez,z5akFHCsv,+56-2-7763-2203,8815,63287,"Cena de Trabajo",538251,2026-01-21,1960000,7
"José María Márquez Yáñez",11.386.918,6,josOo8741@wass.com,Joséyáñez,z5akFHCsv,"+56 2 7763 2203",8815,63287,"Cena de Trabajo",538252,2026/07/20,-2079000,7
"Sr. Lorenzo Reynoso Alaniz",19962135,x,sr.1544@wass.com,srloreal,6fCl93lNoDvmCk,x,1289,x,"Salida con Familia",x,x,354000,2
